username,repo_name,stars,repo_url
dotnet,aspnetcore,26600,https://github.com/dotnet/aspnetcore
SeleniumHQ,selenium,22300,https://github.com/SeleniumHQ/selenium
dotnet,corefx,17900,https://github.com/dotnet/corefx
dotnet,core,16600,https://github.com/dotnet/core
microsoft,react-native-windows,14200,https://github.com/microsoft/react-native-windows
quozd,awesome-dotnet,13900,https://github.com/quozd/awesome-dotnet
icsharpcode,ILSpy,13900,https://github.com/icsharpcode/ILSpy
dotnet,maui,12900,https://github.com/dotnet/maui
dotnet,coreclr,12600,https://github.com/dotnet/coreclr
jellyfin,jellyfin,12500,https://github.com/jellyfin/jellyfin
AvaloniaUI,Avalonia,12500,https://github.com/AvaloniaUI/Avalonia
pulumi,pulumi,10700,https://github.com/pulumi/pulumi
docker,labs,10400,https://github.com/docker/labs
Ryujinx,Ryujinx,10400,https://github.com/Ryujinx/Ryujinx
OpenRA,OpenRA,10200,https://github.com/OpenRA/OpenRA
aspnetboilerplate,aspnetboilerplate,10000,https://github.com/aspnetboilerplate/aspnetboilerplate
App-vNext,Polly,9900,https://github.com/App-vNext/Polly
mono,mono,9600,https://github.com/mono/mono
bitwarden,server,8700,https://github.com/bitwarden/server
ardalis,CleanArchitecture,8700,https://github.com/ardalis/CleanArchitecture
IdentityServer,IdentityServer4,8400,https://github.com/IdentityServer/IdentityServer4
MoienTajik,AspNetCore-Developer-Roadmap,8200,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
MonoGame,MonoGame,8000,https://github.com/MonoGame/MonoGame
dotnet,machinelearning,7700,https://github.com/dotnet/machinelearning
JustArchiNET,ArchiSteamFarm,7200,https://github.com/JustArchiNET/ArchiSteamFarm
NancyFx,Nancy,7200,https://github.com/NancyFx/Nancy
jasontaylordev,CleanArchitecture,7100,https://github.com/jasontaylordev/CleanArchitecture
dotnet,BenchmarkDotNet,7100,https://github.com/dotnet/BenchmarkDotNet
HangfireIO,Hangfire,7100,https://github.com/HangfireIO/Hangfire
nopSolutions,nopCommerce,6800,https://github.com/nopSolutions/nopCommerce
