username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,10000,https://github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,9900,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,8700,https://github.com/bitwarden/server
nopSolutions,nopCommerce,6800,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6100,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,4800,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,4400,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2400,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2400,https://github.com/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,2100,https://github.com/dotnet/aspnet-api-versioning
loic-sharma,BaGet,1900,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-NetCore,1500,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1200,https://github.com/lampo1024/DncZeus
MarimerLLC,csla,961,https://github.com/MarimerLLC/csla
riganti,dotvvm,581,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,571,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
antonioCoco,SharPyShell,497,https://github.com/antonioCoco/SharPyShell
chsakell,mvcarchitecture,447,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,420,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,414,https://github.com/YAFNET/YAFNET
Maarten88,rrod,377,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,364,https://github.com/SapphireDb/SapphireDb
IvanJosipovic,BlazorTable,355,https://github.com/IvanJosipovic/BlazorTable
Taritsyn,WebMarkupMin,340,https://github.com/Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,309,https://github.com/chsakell/aspnet-core-identity
EEParker,aspnetcore-vueclimiddleware,305,https://github.com/EEParker/aspnetcore-vueclimiddleware
ALMMa,datatables.aspnet,284,https://github.com/ALMMa/datatables.aspnet
cornflourblue,aspnet-core-jwt-authentication-api,275,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
