username,repo_name,stars,repo_url
flutter,flutter,133000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,84700,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,58300,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,47900,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,44400,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,41700,https://github.com/wasabeef/awesome-android-ui
square,okhttp,41200,https://github.com/square/okhttp
android,architecture-samples,39800,https://github.com/android/architecture-samples
square,retrofit,39100,https://github.com/square/retrofit
Solido,awesome-flutter,38400,https://github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,34300,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,33300,https://github.com/fastlane/fastlane
airbnb,lottie-android,32100,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,32100,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,32000,https://github.com/bumptech/glide
Trinea,android-open-project,30800,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,30200,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,29800,https://github.com/xitu/gold-miner
bilibili,ijkplayer,29700,https://github.com/bilibili/ijkplayer
zxing,zxing,28700,https://github.com/zxing/zxing
skylot,jadx,28000,https://github.com/skylot/jadx
codepath,android_guides,27600,https://github.com/codepath/android_guides
square,leakcanary,27000,https://github.com/square/leakcanary
laurent22,joplin,26700,https://github.com/laurent22/joplin
alibaba,fastjson,24000,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,23200,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22500,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,21700,https://github.com/react-native-elements/react-native-elements
google,iosched,21000,https://github.com/google/iosched
NativeScript,NativeScript,20700,https://github.com/NativeScript/NativeScript
