username,repo_name,stars,repo_url
arendst,Tasmota,16500,https://github.com/arendst/Tasmota
rwaldron,johnny-five,12500,https://github.com/rwaldron/johnny-five
arduino,Arduino,12300,https://github.com/arduino/Arduino
MarlinFirmware,Marlin,12100,https://github.com/MarlinFirmware/Marlin
SpacehuhnTech,esp8266_deauther,9300,https://github.com/SpacehuhnTech/esp8266_deauther
tinygo-org,tinygo,9000,https://github.com/tinygo-org/tinygo
espressif,arduino-esp32,7700,https://github.com/espressif/arduino-esp32
hybridgroup,gobot,7500,https://github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,7200,https://github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,5500,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,5400,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,4900,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,3900,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3400,https://github.com/Arduino-IRremote/Arduino-IRremote
blynkkk,blynk-library,3300,https://github.com/blynkkk/blynk-library
arduino,arduino-cli,3200,https://github.com/arduino/arduino-cli
NectarJS,nectarjs,3100,https://github.com/NectarJS/nectarjs
olikraus,u8g2,2700,https://github.com/olikraus/u8g2
gioblu,PJON,2600,https://github.com/gioblu/PJON
1technophile,OpenMQTTGateway,2400,https://github.com/1technophile/OpenMQTTGateway
scottlawsonbc,audio-reactive-led-strip,2200,https://github.com/scottlawsonbc/audio-reactive-led-strip
isl-org,OpenBot,2000,https://github.com/isl-org/OpenBot
crankyoldgit,IRremoteESP8266,2000,https://github.com/crankyoldgit/IRremoteESP8266
Serial-Studio,Serial-Studio,1900,https://github.com/Serial-Studio/Serial-Studio
scottbez1,splitflap,1900,https://github.com/scottbez1/splitflap
nRF24,RF24,1800,https://github.com/nRF24/RF24
stm32duino,Arduino_Core_STM32,1700,https://github.com/stm32duino/Arduino_Core_STM32
blinker-iot,blinker-library,1600,https://github.com/blinker-iot/blinker-library
ThingPulse,esp8266-oled-ssd1306,1600,https://github.com/ThingPulse/esp8266-oled-ssd1306
Bodmer,TFT_eSPI,1500,https://github.com/Bodmer/TFT_eSPI
