username,repo_name,stars,repo_url
bregman-arie,devops-exercises,19600,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12300,https://github.com/ramitsurana/awesome-kubernetes
microsoft,recommenders,11700,https://github.com/microsoft/recommenders
Azure,azure-quickstart-templates,11100,https://github.com/Azure/azure-quickstart-templates
pulumi,pulumi,10700,https://github.com/pulumi/pulumi
mozilla,sops,8700,https://github.com/mozilla/sops
microsoft,computervision-recipes,8200,https://github.com/microsoft/computervision-recipes
google,go-cloud,8100,https://github.com/google/go-cloud
caprover,caprover,7900,https://github.com/caprover/caprover
microsoft,azuredatastudio,6600,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6100,https://github.com/node-formidable/formidable
midwayjs,midway,5000,https://github.com/midwayjs/midway
infracost,infracost,4500,https://github.com/infracost/infracost
thangchung,clean-code-dotnet,4400,https://github.com/thangchung/clean-code-dotnet
budtmo,docker-android,4000,https://github.com/budtmo/docker-android
cloud-custodian,cloud-custodian,3900,https://github.com/cloud-custodian/cloud-custodian
nccgroup,ScoutSuite,3700,https://github.com/nccgroup/ScoutSuite
Azure,autorest,3600,https://github.com/Azure/autorest
aquasecurity,tfsec,3600,https://github.com/aquasecurity/tfsec
bridgecrewio,checkov,3500,https://github.com/bridgecrewio/checkov
simov,grant,3500,https://github.com/simov/grant
Azure,azure-sdk-for-net,3100,https://github.com/Azure/azure-sdk-for-net
hashicorp,terraform-provider-azurerm,3000,https://github.com/hashicorp/terraform-provider-azurerm
Azure,azure-powershell,2900,https://github.com/Azure/azure-powershell
Azure,azure-cli,2800,https://github.com/Azure/azure-cli
microsoft,SynapseML,2800,https://github.com/microsoft/SynapseML
Azure,MachineLearningNotebooks,2800,https://github.com/Azure/MachineLearningNotebooks
mlabouardy,komiser,2700,https://github.com/mlabouardy/komiser
APIs-guru,openapi-directory,2600,https://github.com/APIs-guru/openapi-directory
smartstore,SmartStoreNET,2400,https://github.com/smartstore/SmartStoreNET
