username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,99900,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,53600,https://github.com/nvm-sh/nvm
junegunn,fzf,40700,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,28000,https://github.com/dylanaraps/pure-bash-bible
mathiasbynens,dotfiles,27200,https://github.com/mathiasbynens/dotfiles
koalaman,shellcheck,27000,https://github.com/koalaman/shellcheck
LeCoupa,awesome-cheatsheets,25800,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,24500,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,22500,https://github.com/alebcay/awesome-shell
starship,starship,20200,https://github.com/starship/starship
jaywcjlove,linux-command,17400,https://github.com/jaywcjlove/linux-command
Nyr,openvpn-install,14100,https://github.com/Nyr/openvpn-install
rbenv,rbenv,13800,https://github.com/rbenv/rbenv
dylanaraps,neofetch,13600,https://github.com/dylanaraps/neofetch
powerline,powerline,13000,https://github.com/powerline/powerline
shelljs,shelljs,12900,https://github.com/shelljs/shelljs
Bash-it,bash-it,12600,https://github.com/Bash-it/bash-it
jessfraz,dockerfiles,12200,https://github.com/jessfraz/dockerfiles
faressoft,terminalizer,12100,https://github.com/faressoft/terminalizer
denisidoro,navi,10000,https://github.com/denisidoro/navi
codota,TabNine,8800,https://github.com/codota/TabNine
rgcr,m-cli,8600,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8500,https://github.com/alexanderepstein/Bash-Snippets
kanaka,mal,8300,https://github.com/kanaka/mal
direnv,direnv,8100,https://github.com/direnv/direnv
withfig,autocomplete,8100,https://github.com/withfig/autocomplete
skywind3000,awesome-cheatsheets,7900,https://github.com/skywind3000/awesome-cheatsheets
angristan,openvpn-install,7100,https://github.com/angristan/openvpn-install
carlospolop,PEASS-ng,7000,https://github.com/carlospolop/PEASS-ng
extrawurst,gitui,6600,https://github.com/extrawurst/gitui
