username,repo_name,stars,repo_url
bitcoin,bitcoin,59800,https://github.com/bitcoin/bitcoin
ccxt,ccxt,22300,https://github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,17200,https://github.com/HelloZeroNet/ZeroNet
freqtrade,freqtrade,13800,https://github.com/freqtrade/freqtrade
askmike,gekko,9800,https://github.com/askmike/gekko
bbfamily,abu,8500,https://github.com/bbfamily/abu
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
dvf,blockchain,6500,https://github.com/dvf/blockchain
yeasy,blockchain_guide,5900,https://github.com/yeasy/blockchain_guide
solana-labs,solana,5900,https://github.com/solana-labs/solana
lightningnetwork,lnd,5600,https://github.com/lightningnetwork/lnd
butor,blackbird,5400,https://github.com/butor/blackbird
spesmilo,electrum,5300,https://github.com/spesmilo/electrum
btcsuite,btcd,4600,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4400,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4100,https://github.com/bitcoinj/bitcoinj
bisq-network,bisq,3800,https://github.com/bisq-network/bisq
CryptoSignal,Crypto-Signal,3600,https://github.com/CryptoSignal/Crypto-Signal
michaelgrosner,tribeca,3600,https://github.com/michaelgrosner/tribeca
Scanate,EthList,3600,https://github.com/Scanate/EthList
RomelTorres,alpha_vantage,3500,https://github.com/RomelTorres/alpha_vantage
Zheaoli,awesome-coins,3500,https://github.com/Zheaoli/awesome-coins
coinpride,CryptoList,3400,https://github.com/coinpride/CryptoList
bitpay,wallet,3400,https://github.com/bitpay/wallet
jesse-ai,jesse,3300,https://github.com/jesse-ai/jesse
SqueezerIO,squeezer,3200,https://github.com/SqueezerIO/squeezer
Jeiwan,blockchain_go,3100,https://github.com/Jeiwan/blockchain_go
btcpayserver,btcpayserver,3100,https://github.com/btcpayserver/btcpayserver
cointop-sh,cointop,2900,https://github.com/cointop-sh/cointop
lbryio,lbrycrd,2800,https://github.com/lbryio/lbrycrd
