username,repo_name,stars,repo_url
ccxt,ccxt,22300,https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,17100,https://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,16300,https://github.com/discordjs/discord.js
hubotio,hubot,16000,https://github.com/hubotio/hubot
InstaPy,InstaPy,13500,https://github.com/InstaPy/InstaPy
RasaHQ,rasa,13100,https://github.com/RasaHQ/rasa
gunthercox,ChatterBot,11800,https://github.com/gunthercox/ChatterBot
wechaty,wechaty,11500,https://github.com/wechaty/wechaty
howdyai,botkit,10500,https://github.com/howdyai/botkit
botpress,botpress,9500,https://github.com/botpress/botpress
sfyc23,EverydayWechat,8700,https://github.com/sfyc23/EverydayWechat
tgbot-collection,YYeTsBot,8300,https://github.com/tgbot-collection/YYeTsBot
leon-ai,leon,8100,https://github.com/leon-ai/leon
EZFNDEV,EZFN-Lobbybot,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
microsoft,ailab,6900,https://github.com/microsoft/ailab
microsoft,botframework-sdk,6700,https://github.com/microsoft/botframework-sdk
maxbbraun,trump2cash,6000,https://github.com/maxbbraun/trump2cash
yagop,node-telegram-bot-api,5700,https://github.com/yagop/node-telegram-bot-api
botman,botman,5500,https://github.com/botman/botman
deepmipt,DeepPavlov,5500,https://github.com/deepmipt/DeepPavlov
telegraf,telegraf,5100,https://github.com/telegraf/telegraf
axa-group,nlp.js,4700,https://github.com/axa-group/nlp.js
jef,streetmerchant,4600,https://github.com/jef/streetmerchant
ohld,igbot,4100,https://github.com/ohld/igbot
pedroslopez,whatsapp-web.js,4000,https://github.com/pedroslopez/whatsapp-web.js
Yoctol,bottender,3800,https://github.com/Yoctol/bottender
PokemonGoF,PokemonGo-Bot,3700,https://github.com/PokemonGoF/PokemonGo-Bot
snipsco,snips-nlu,3600,https://github.com/snipsco/snips-nlu
orkestral,venom,3400,https://github.com/orkestral/venom
chrisleekr,binance-trading-bot,3400,https://github.com/chrisleekr/binance-trading-bot
