username,repo_name,stars,repo_url
microsoft,calculator,23200,https://github.com/microsoft/calculator
ShareX,ShareX,18000,https://github.com/ShareX/ShareX
dotnet,corefx,17900,https://github.com/dotnet/corefx
mxgmn,WaveFunctionCollapse,17100,https://github.com/mxgmn/WaveFunctionCollapse
thangchung,awesome-dotnet-core,15400,https://github.com/thangchung/awesome-dotnet-core
dotnet,roslyn,15200,https://github.com/dotnet/roslyn
files-community,Files,15000,https://github.com/files-community/Files
quozd,awesome-dotnet,13900,https://github.com/quozd/awesome-dotnet
jellyfin,jellyfin,12500,https://github.com/jellyfin/jellyfin
AvaloniaUI,Avalonia,12500,https://github.com/AvaloniaUI/Avalonia
antlr,antlr4,11100,https://github.com/antlr/antlr4
pulumi,pulumi,10700,https://github.com/pulumi/pulumi
Ryujinx,Ryujinx,10400,https://github.com/Ryujinx/Ryujinx
OpenRA,OpenRA,10200,https://github.com/OpenRA/OpenRA
aspnetboilerplate,aspnetboilerplate,10000,https://github.com/aspnetboilerplate/aspnetboilerplate
mono,mono,9600,https://github.com/mono/mono
apache,thrift,8800,https://github.com/apache/thrift
bitwarden,server,8700,https://github.com/bitwarden/server
dotnet,csharplang,8000,https://github.com/dotnet/csharplang
MonoGame,MonoGame,8000,https://github.com/MonoGame/MonoGame
dotansimha,graphql-code-generator,7900,https://github.com/dotansimha/graphql-code-generator
doocs,leetcode,7800,https://github.com/doocs/leetcode
quicktype,quicktype,7400,https://github.com/quicktype/quicktype
Tencent,xLua,7200,https://github.com/Tencent/xLua
JustArchiNET,ArchiSteamFarm,7200,https://github.com/JustArchiNET/ArchiSteamFarm
abpframework,abp,7100,https://github.com/abpframework/abp
carlospolop,PEASS-ng,7000,https://github.com/carlospolop/PEASS-ng
microsoft,ailab,6900,https://github.com/microsoft/ailab
reactiveui,ReactiveUI,6700,https://github.com/reactiveui/ReactiveUI
microsoft,botframework-sdk,6700,https://github.com/microsoft/botframework-sdk
