username,repo_name,stars,repo_url
Genymobile,scrcpy,58300,https://github.com/Genymobile/scrcpy
neovim,neovim,49000,https://github.com/neovim/neovim
git,git,40300,https://github.com/git/git
fffaraz,awesome-cpp,34900,https://github.com/fffaraz/awesome-cpp
obsproject,obs-studio,33600,https://github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,28800,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,27100,https://github.com/FFmpeg/FFmpeg
vim,vim,25400,https://github.com/vim/vim
ggreer,the_silver_searcher,23000,https://github.com/ggreer/the_silver_searcher
curl,curl,22700,https://github.com/curl/curl
huihut,interview,21400,https://github.com/huihut/interview
ruby,ruby,18700,https://github.com/ruby/ruby
google,flatbuffers,17100,https://github.com/google/flatbuffers
mpv-player,mpv,16900,https://github.com/mpv-player/mpv
pbatard,rufus,16800,https://github.com/pbatard/rufus
ossrs,srs,16600,https://github.com/ossrs/srs
oracle,graal,16200,https://github.com/oracle/graal
radareorg,radare2,15300,https://github.com/radareorg/radare2
shadowsocks,shadowsocks-libev,14700,https://github.com/shadowsocks/shadowsocks-libev
microsoft,vcpkg,14300,https://github.com/microsoft/vcpkg
allinurl,goaccess,14000,https://github.com/allinurl/goaccess
vurtun,nuklear,13300,https://github.com/vurtun/nuklear
jarun,nnn,13000,https://github.com/jarun/nnn
kovidgoyal,kitty,12800,https://github.com/kovidgoyal/kitty
facebook,infer,12800,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12200,https://github.com/CoatiSoftware/Sourcetrail
TheAlgorithms,C,11700,https://github.com/TheAlgorithms/C
qmk,qmk_firmware,11100,https://github.com/qmk/qmk_firmware
s-matyukevich,raspberry-pi-os,11000,https://github.com/s-matyukevich/raspberry-pi-os
hashcat,hashcat,10900,https://github.com/hashcat/hashcat
