username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,27800,https://github.com/CSSEGISandData/COVID-19
covid19india,covid19india-react,6800,https://github.com/covid19india/covid19india-react
nytimes,covid-19-data,6600,https://github.com/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,6300,https://github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,4600,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,3900,https://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2700,https://github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,2300,https://github.com/disease-sh/API
geohot,corona,2100,https://github.com/geohot/corona
WorldHealthOrganization,app,2100,https://github.com/WorldHealthOrganization/app
ahmadawais,corona-cli,1800,https://github.com/ahmadawais/corona-cli
corona-warn-app,cwa-server,1800,https://github.com/corona-warn-app/cwa-server
ExpDev07,coronavirus-tracker-api,1600,https://github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,1500,https://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1400,https://github.com/mhdhejazi/CoronaTracker
github,covid19-dashboard,1400,https://github.com/github/covid19-dashboard
neherlab,covid19_scenarios,1400,https://github.com/neherlab/covid19_scenarios
pomber,covid19,1200,https://github.com/pomber/covid19
covidpass-org,covidpass,1100,https://github.com/covidpass-org/covidpass
datasets,covid-19,1100,https://github.com/datasets/covid-19
chandrikadeb7,Face-Mask-Detection,1100,https://github.com/chandrikadeb7/Face-Mask-Detection
FoldingAtHome,coronavirus,1100,https://github.com/FoldingAtHome/coronavirus
chrismattmann,tika-python,1100,https://github.com/chrismattmann/tika-python
lindawangg,COVID-Net,1100,https://github.com/lindawangg/COVID-Net
cyberman54,ESP32-Paxcounter,945,https://github.com/cyberman54/ESP32-Paxcounter
ImperialCollegeLondon,covid19model,934,https://github.com/ImperialCollegeLondon/covid19model
UCSD-AI4H,COVID-CT,901,https://github.com/UCSD-AI4H/COVID-CT
nychealth,coronavirus-data,869,https://github.com/nychealth/coronavirus-data
MoH-Malaysia,covid19-public,867,https://github.com/MoH-Malaysia/covid19-public
makers-for-life,makair,754,https://github.com/makers-for-life/makair
