username,repo_name,stars,repo_url
twbs,bootstrap,154000,https://github.com/twbs/bootstrap
electron,electron,99200,https://github.com/electron/electron
animate-css,animate.css,72900,https://github.com/animate-css/animate.css
FortAwesome,Font-Awesome,66800,https://github.com/FortAwesome/Font-Awesome
thedaviddias,Front-End-Checklist,57200,https://github.com/thedaviddias/Front-End-Checklist
h5bp,html5-boilerplate,52000,https://github.com/h5bp/html5-boilerplate
tailwindlabs,tailwindcss,49700,https://github.com/tailwindlabs/tailwindcss
necolas,normalize.css,46100,https://github.com/necolas/normalize.css
jgthms,bulma,44700,https://github.com/jgthms/bulma
prettier,prettier,41300,https://github.com/prettier/prettier
juliangarnier,anime,40900,https://github.com/juliangarnier/anime
parcel-bundler,parcel,39600,https://github.com/parcel-bundler/parcel
Dogfalo,materialize,38600,https://github.com/Dogfalo/materialize
microsoft,Web-Dev-For-Beginners,38500,https://github.com/microsoft/Web-Dev-For-Beginners
vercel,hyper,37400,https://github.com/vercel/hyper
styled-components,styled-components,35400,https://github.com/styled-components/styled-components
yangshun,front-end-interview-handbook,32200,https://github.com/yangshun/front-end-interview-handbook
evanw,esbuild,29100,https://github.com/evanw/esbuild
IanLunn,Hover,25600,https://github.com/IanLunn/Hover
postcss,postcss,25500,https://github.com/postcss/postcss
sentsin,layui,25400,https://github.com/sentsin/layui
Advanced-Frontend,Daily-Interview-Question,24600,https://github.com/Advanced-Frontend/Daily-Interview-Question
tabler,tabler,24500,https://github.com/tabler/tabler
iview,iview,23900,https://github.com/iview/iview
pure-css,pure,22100,https://github.com/pure-css/pure
mdbootstrap,mdb-ui-kit,21800,https://github.com/mdbootstrap/mdb-ui-kit
AllThingsSmitty,css-protips,20200,https://github.com/AllThingsSmitty/css-protips
jlmakes,scrollreveal,20200,https://github.com/jlmakes/scrollreveal
postcss,autoprefixer,20000,https://github.com/postcss/autoprefixer
haizlin,fe-interview,19500,https://github.com/haizlin/fe-interview
