username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,20500,https://github.com/iamadamdev/bypass-paywalls-chrome
refined-github,refined-github,16300,https://github.com/refined-github/refined-github
checkly,headless-recorder,13800,https://github.com/checkly/headless-recorder
unbug,codelf,12000,https://github.com/unbug/codelf
darkreader,darkreader,11900,https://github.com/darkreader/darkreader
crimx,ext-saladict,8300,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,7900,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,7600,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,6200,https://github.com/alyssaxuu/screenity
Kenshin,simpread,5300,https://github.com/Kenshin/simpread
manojVivek,medium-unlimited,4400,https://github.com/manojVivek/medium-unlimited
dailydotdev,daily,4400,https://github.com/dailydotdev/daily
gildas-lormeau,SingleFile,4300,https://github.com/gildas-lormeau/SingleFile
dessant,buster,4200,https://github.com/dessant/buster
Anarios,return-youtube-dislike,4100,https://github.com/Anarios/return-youtube-dislike
zxlie,FeHelper,3900,https://github.com/zxlie/FeHelper
altair-graphql,altair,3800,https://github.com/altair-graphql/altair
bilibili-helper,bilibili-helper-o,3700,https://github.com/bilibili-helper/bilibili-helper-o
dejan,rails_panel,3700,https://github.com/dejan/rails_panel
openstyles,stylus,3600,https://github.com/openstyles/stylus
webclipper,web-clipper,3600,https://github.com/webclipper/web-clipper
lmk123,crx-selection-translate,3600,https://github.com/lmk123/crx-selection-translate
ajayyy,SponsorBlock,3500,https://github.com/ajayyy/SponsorBlock
KartikTalwar,gmail.js,3400,https://github.com/KartikTalwar/gmail.js
WorldBrain,Memex,3300,https://github.com/WorldBrain/Memex
honestbleeps,Reddit-Enhancement-Suite,3300,https://github.com/honestbleeps/Reddit-Enhancement-Suite
vinta,pangu.js,3300,https://github.com/vinta/pangu.js
sunoj,jjb,3100,https://github.com/sunoj/jjb
EmailThis,extension-boilerplate,2900,https://github.com/EmailThis/extension-boilerplate
RetireJS,retire.js,2900,https://github.com/RetireJS/retire.js
