username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,137000,https://github.com/ohmyzsh/ohmyzsh
httpie,httpie,52900,https://github.com/httpie/httpie
junegunn,fzf,40700,https://github.com/junegunn/fzf
sharkdp,bat,30600,https://github.com/sharkdp/bat
wagoodman,dive,28700,https://github.com/wagoodman/dive
sherlock-project,sherlock,28400,https://github.com/sherlock-project/sherlock
BurntSushi,ripgrep,28400,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,27700,https://github.com/chubin/cheat.sh
cli,cli,26500,https://github.com/cli/cli
angular,angular-cli,25100,https://github.com/angular/angular-cli
spf13,cobra,24200,https://github.com/spf13/cobra
jesseduffield,lazygit,24200,https://github.com/jesseduffield/lazygit
alebcay,awesome-shell,22500,https://github.com/alebcay/awesome-shell
google,python-fire,20500,https://github.com/google/python-fire
tqdm,tqdm,20200,https://github.com/tqdm/tqdm
sharkdp,fd,19700,https://github.com/sharkdp/fd
avajs,ava,19400,https://github.com/avajs/ava
vercel,pkg,19200,https://github.com/vercel/pkg
n8n-io,n8n,19100,https://github.com/n8n-io/n8n
ibraheemdev,modern-unix,18000,https://github.com/ibraheemdev/modern-unix
chalk,chalk,17500,https://github.com/chalk/chalk
vadimdemedes,ink,17400,https://github.com/vadimdemedes/ink
svg,svgo,17000,https://github.com/svg/svgo
urfave,cli,16900,https://github.com/urfave/cli
gpakosz,.tmux,15500,https://github.com/gpakosz/.tmux
allinurl,goaccess,14000,https://github.com/allinurl/goaccess
FormidableLabs,webpack-dashboard,13800,https://github.com/FormidableLabs/webpack-dashboard
infinitered,ignite,13300,https://github.com/infinitered/ignite
jarun,nnn,13000,https://github.com/jarun/nnn
pomber,git-history,12700,https://github.com/pomber/git-history
