username,repo_name,stars,repo_url
vercel,next.js,77700,https://github.com/vercel/next.js
rust-lang,rust,60900,https://github.com/rust-lang/rust
webpack,webpack,59900,https://github.com/webpack/webpack
sveltejs,svelte,53300,https://github.com/sveltejs/svelte
gatsbyjs,gatsby,51800,https://github.com/gatsbyjs/gatsby
babel,babel,40000,https://github.com/babel/babel
parcel-bundler,parcel,39600,https://github.com/parcel-bundler/parcel
JetBrains,kotlin,39500,https://github.com/JetBrains/kotlin
evanw,esbuild,29100,https://github.com/evanw/esbuild
markedjs,marked,26500,https://github.com/markedjs/marked
vlang,v,26200,https://github.com/vlang/v
vercel,pkg,19200,https://github.com/vercel/pkg
v8,v8,18700,https://github.com/v8/v8
swc-project,swc,18200,https://github.com/swc-project/swc
AssemblyScript,assemblyscript,13100,https://github.com/AssemblyScript/assemblyscript
Konloch,bytecode-viewer,12600,https://github.com/Konloch/bytecode-viewer
nim-lang,Nim,12200,https://github.com/nim-lang/Nim
ziglang,zig,11400,https://github.com/ziglang/zig
gopherjs,gopherjs,10700,https://github.com/gopherjs/gopherjs
RustPython,RustPython,10200,https://github.com/RustPython/RustPython
compiler-explorer,compiler-explorer,9800,https://github.com/compiler-explorer/compiler-explorer
apache,tvm,7400,https://github.com/apache/tvm
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
numba,numba,7000,https://github.com/numba/numba
elm,compiler,6700,https://github.com/elm/compiler
aalhour,awesome-compilers,6400,https://github.com/aalhour/awesome-compilers
Nuitka,Nuitka,6100,https://github.com/Nuitka/Nuitka
DoctorWkt,acwj,5800,https://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5600,https://github.com/rescript-lang/rescript-compiler
lebab,lebab,5500,https://github.com/lebab/lebab
