username,repo_name,stars,repo_url
bitcoin,bitcoin,59800,https://github.com/bitcoin/bitcoin
ccxt,ccxt,22300,https://github.com/ccxt/ccxt
freqtrade,freqtrade,13800,https://github.com/freqtrade/freqtrade
GamestonkTerminal,GamestonkTerminal,8700,https://github.com/GamestonkTerminal/GamestonkTerminal
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
dvf,blockchain,6500,https://github.com/dvf/blockchain
monero-project,monero,6500,https://github.com/monero-project/monero
xmrig,xmrig,6200,https://github.com/xmrig/xmrig
lightningnetwork,lnd,5600,https://github.com/lightningnetwork/lnd
mimblewimble,grin,4900,https://github.com/mimblewimble/grin
StockSharp,StockSharp,4600,https://github.com/StockSharp/StockSharp
tendermint,tendermint,4500,https://github.com/tendermint/tendermint
sammchardy,python-binance,4100,https://github.com/sammchardy/python-binance
litecoin-project,litecoin,4000,https://github.com/litecoin-project/litecoin
input-output-hk,cardano-sl,3700,https://github.com/input-output-hk/cardano-sl
michaelgrosner,tribeca,3600,https://github.com/michaelgrosner/tribeca
Scanate,EthList,3600,https://github.com/Scanate/EthList
RomelTorres,alpha_vantage,3500,https://github.com/RomelTorres/alpha_vantage
itheima1,BlockChain,3500,https://github.com/itheima1/BlockChain
Zheaoli,awesome-coins,3500,https://github.com/Zheaoli/awesome-coins
coinpride,CryptoList,3400,https://github.com/coinpride/CryptoList
chrisleekr,binance-trading-bot,3400,https://github.com/chrisleekr/binance-trading-bot
CoinAlpha,hummingbot,3300,https://github.com/CoinAlpha/hummingbot
nanocurrency,nano-node,3300,https://github.com/nanocurrency/nano-node
status-im,status-react,3300,https://github.com/status-im/status-react
jesse-ai,jesse,3300,https://github.com/jesse-ai/jesse
Jeiwan,blockchain_go,3100,https://github.com/Jeiwan/blockchain_go
cosmos,cosmos-sdk,3100,https://github.com/cosmos/cosmos-sdk
cointop-sh,cointop,2900,https://github.com/cointop-sh/cointop
lbryio,lbrycrd,2800,https://github.com/lbryio/lbrycrd
