username,repo_name,stars,repo_url
crystal-lang,crystal,17000,https://github.com/crystal-lang/crystal
kemalcr,kemal,3200,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,2900,https://github.com/veelenga/awesome-crystal
amberframework,amber,2300,https://github.com/amberframework/amber
luckyframework,lucky,2200,https://github.com/luckyframework/lucky
ffwff,lilith,1100,https://github.com/ffwff/lilith
hkalexling,Mango,921,https://github.com/hkalexling/Mango
drujensen,fib,752,https://github.com/drujensen/fib
amethyst-framework,amethyst,647,https://github.com/amethyst-framework/amethyst
askn,crystal-by-example,506,https://github.com/askn/crystal-by-example
crystal-community,icr,480,https://github.com/crystal-community/icr
will,crystal-pg,401,https://github.com/will/crystal-pg
crystal-ameba,ameba,388,https://github.com/crystal-ameba/ameba
stefanwille,crystal-redis,360,https://github.com/stefanwille/crystal-redis
vim-crystal,vim-crystal,354,https://github.com/vim-crystal/vim-crystal
imdrasil,jennifer.cr,340,https://github.com/imdrasil/jennifer.cr
Crecto,crecto,336,https://github.com/Crecto/crecto
crystal-lang,crystal-book,320,https://github.com/crystal-lang/crystal-book
crystal-lang-tools,scry,314,https://github.com/crystal-lang-tools/scry
cooperhammond,irs,300,https://github.com/cooperhammond/irs
oprypin,crsfml,297,https://github.com/oprypin/crsfml
Hentioe,policr,287,https://github.com/Hentioe/policr
iGenius-Srl,IGColorPicker,262,https://github.com/iGenius-Srl/IGColorPicker
amberframework,granite,252,https://github.com/amberframework/granite
samueleaton,sentry,251,https://github.com/samueleaton/sentry
crystal-community,crystal-patterns,250,https://github.com/crystal-community/crystal-patterns
costajob,app-servers,249,https://github.com/costajob/app-servers
anykeyh,clear,246,https://github.com/anykeyh/clear
tbrand,router.cr,240,https://github.com/tbrand/router.cr
crystal-lang,crystal-db,232,https://github.com/crystal-lang/crystal-db
