username,repo_name,stars,repo_url
jwasham,coding-interview-university,200000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,127000,https://github.com/trekhleb/javascript-algorithms
labuladong,fucking-algorithm,99100,https://github.com/labuladong/fucking-algorithm
azl397985856,leetcode,45400,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,42700,https://github.com/TheAlgorithms/Java
raywenderlich,swift-algorithm-club,25700,https://github.com/raywenderlich/swift-algorithm-club
huihut,interview,21400,https://github.com/huihut/interview
TheAlgorithms,C-Plus-Plus,17000,https://github.com/TheAlgorithms/C-Plus-Plus
TheAlgorithms,Javascript,16000,https://github.com/TheAlgorithms/Javascript
TheAlgorithms,C,11700,https://github.com/TheAlgorithms/C
careercup,CtCI-6th-Edition,9300,https://github.com/careercup/CtCI-6th-Edition
OI-wiki,OI-wiki,9200,https://github.com/OI-wiki/OI-wiki
TheAlgorithms,Go,7300,https://github.com/TheAlgorithms/Go
amejiarosario,dsa.js-data-structures-algorithms-javascript,6200,https://github.com/amejiarosario/dsa.js-data-structures-algorithms-javascript
mahmoud,boltons,5700,https://github.com/mahmoud/boltons
grandyang,leetcode,5600,https://github.com/grandyang/leetcode
twowaits,SDE-Interview-Questions,5400,https://github.com/twowaits/SDE-Interview-Questions
changgyhub,leetcode_101,5300,https://github.com/changgyhub/leetcode_101
kunal-kushwaha,DSA-Bootcamp-Java,4900,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
mandliya,algorithms_and_data_structures,4700,https://github.com/mandliya/algorithms_and_data_structures
aalhour,C-Sharp-Algorithms,4600,https://github.com/aalhour/C-Sharp-Algorithms
teivah,algodeck,4400,https://github.com/teivah/algodeck
TheAlgorithms,Rust,4400,https://github.com/TheAlgorithms/Rust
OmkarPathak,pygorithm,4300,https://github.com/OmkarPathak/pygorithm
crossbeam-rs,crossbeam,4100,https://github.com/crossbeam-rs/crossbeam
soapyigu,LeetCode-Swift,4100,https://github.com/soapyigu/LeetCode-Swift
phishman3579,java-algorithms-implementation,3900,https://github.com/phishman3579/java-algorithms-implementation
seanprashad,leetcode-patterns,3700,https://github.com/seanprashad/leetcode-patterns
felipernb,algorithms.js,3300,https://github.com/felipernb/algorithms.js
TheAlgorithms,C-Sharp,3200,https://github.com/TheAlgorithms/C-Sharp
