username,repo_name,stars,repo_url
d3,d3,99500,https://github.com/d3/d3
apache,echarts,49000,https://github.com/apache/echarts
grafana,grafana,45200,https://github.com/grafana/grafana
apache,superset,42400,https://github.com/apache/superset
pixijs,pixijs,34900,https://github.com/pixijs/pixijs
metabase,metabase,26700,https://github.com/metabase/metabase
academic,awesome-datascience,17500,https://github.com/academic/awesome-datascience
streamlit,streamlit,16700,https://github.com/streamlit/streamlit
plotly,dash,15500,https://github.com/plotly/dash
matplotlib,matplotlib,14600,https://github.com/matplotlib/matplotlib
airbnb,visx,14500,https://github.com/airbnb/visx
plotly,plotly.js,14200,https://github.com/plotly/plotly.js
antvis,G2,11000,https://github.com/antvis/G2
apexcharts,apexcharts.js,11000,https://github.com/apexcharts/apexcharts.js
0xnr,awesome-bigdata,10400,https://github.com/0xnr/awesome-bigdata
visgl,deck.gl,9300,https://github.com/visgl/deck.gl
FormidableLabs,victory,9200,https://github.com/FormidableLabs/victory
c3js,c3,9200,https://github.com/c3js/c3
mwaskom,seaborn,9000,https://github.com/mwaskom/seaborn
terkelg,awesome-creative-coding,8600,https://github.com/terkelg/awesome-creative-coding
OpenRefine,OpenRefine,8500,https://github.com/OpenRefine/OpenRefine
keplergl,kepler.gl,8200,https://github.com/keplergl/kepler.gl
uber,react-vis,8100,https://github.com/uber/react-vis
rawgraphs,rawgraphs-app,7900,https://github.com/rawgraphs/rawgraphs-app
antvis,F2,7600,https://github.com/antvis/F2
microsoft,Data-Science-For-Beginners,7500,https://github.com/microsoft/Data-Science-For-Beginners
leeoniya,uPlot,6800,https://github.com/leeoniya/uPlot
PAIR-code,facets,6700,https://github.com/PAIR-code/facets
sourcerer-io,sourcerer-app,6600,https://github.com/sourcerer-io/sourcerer-app
visgl,react-map-gl,6200,https://github.com/visgl/react-map-gl
