username,repo_name,stars,repo_url
etcd-io,etcd,38100,https://github.com/etcd-io/etcd
pingcap,tidb,29700,https://github.com/pingcap/tidb
SheetJS,sheetjs,28300,https://github.com/SheetJS/sheetjs
metabase,metabase,26700,https://github.com/metabase/metabase
typeorm,typeorm,26400,https://github.com/typeorm/typeorm
LeCoupa,awesome-cheatsheets,25800,https://github.com/LeCoupa/awesome-cheatsheets
dbeaver,dbeaver,23500,https://github.com/dbeaver/dbeaver
cockroachdb,cockroach,22600,https://github.com/cockroachdb/cockroach
influxdata,influxdb,22500,https://github.com/influxdata/influxdb
sqlmapproject,sqlmap,21800,https://github.com/sqlmapproject/sqlmap
huihut,interview,21400,https://github.com/huihut/interview
facebook,rocksdb,21300,https://github.com/facebook/rocksdb
mongodb,mongo,20800,https://github.com/mongodb/mongo
meilisearch,MeiliSearch,19800,https://github.com/meilisearch/MeiliSearch
PostgREST,postgrest,18100,https://github.com/PostgREST/postgrest
prisma,prisma,17900,https://github.com/prisma/prisma
taosdata,TDengine,17400,https://github.com/taosdata/TDengine
dgraph-io,dgraph,17000,https://github.com/dgraph-io/dgraph
prisma,prisma1,16900,https://github.com/prisma/prisma1
typicode,lowdb,16800,https://github.com/typicode/lowdb
pubkey,rxdb,16600,https://github.com/pubkey/rxdb
sqlitebrowser,sqlitebrowser,15700,https://github.com/sqlitebrowser/sqlitebrowser
amark,gun,15000,https://github.com/amark/gun
apache,shardingsphere,14900,https://github.com/apache/shardingsphere
realm,realm-cocoa,14700,https://github.com/realm/realm-cocoa
pouchdb,pouchdb,14600,https://github.com/pouchdb/pouchdb
directus,directus,12900,https://github.com/directus/directus
boltdb,bolt,12400,https://github.com/boltdb/bolt
valeriansaliou,sonic,12200,https://github.com/valeriansaliou/sonic
timescale,timescaledb,12200,https://github.com/timescale/timescaledb
