username,repo_name,stars,repo_url
tensorflow,tensorflow,161000,https://github.com/tensorflow/tensorflow
opencv,opencv,58300,https://github.com/opencv/opencv
keras-team,keras,53300,https://github.com/keras-team/keras
pytorch,pytorch,52500,https://github.com/pytorch/pytorch
aymericdamien,TensorFlow-Examples,41400,https://github.com/aymericdamien/TensorFlow-Examples
deepfakes,faceswap,39700,https://github.com/deepfakes/faceswap
Avik-Jain,100-Days-Of-ML-Code,33500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
BVLC,caffe,32100,https://github.com/BVLC/caffe
CorentinJ,Real-Time-Voice-Cloning,31500,https://github.com/CorentinJ/Real-Time-Voice-Cloning
floodsung,Deep-Learning-Papers-Reading-Roadmap,30900,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
iperov,DeepFaceLab,30100,https://github.com/iperov/DeepFaceLab
GokuMohandas,MadeWithML,29200,https://github.com/GokuMohandas/MadeWithML
d2l-ai,d2l-zh,28400,https://github.com/d2l-ai/d2l-zh
ZuzooVn,machine-learning-for-software-engineers,25500,https://github.com/ZuzooVn/machine-learning-for-software-engineers
naptha,tesseract.js,25200,https://github.com/naptha/tesseract.js
ageron,handson-ml,23700,https://github.com/ageron/handson-ml
terryum,awesome-deep-learning-papers,23400,https://github.com/terryum/awesome-deep-learning-papers
CMU-Perceptual-Computing-Lab,openpose,22700,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yunjey,pytorch-tutorial,22300,https://github.com/yunjey/pytorch-tutorial
donnemartin,data-science-ipython-notebooks,21900,https://github.com/donnemartin/data-science-ipython-notebooks
explosion,spaCy,21900,https://github.com/explosion/spaCy
fastai,fastai,21700,https://github.com/fastai/fastai
eriklindernoren,ML-From-Scratch,20600,https://github.com/eriklindernoren/ML-From-Scratch
ultralytics,yolov5,19300,https://github.com/ultralytics/yolov5
mozilla,DeepSpeech,18600,https://github.com/mozilla/DeepSpeech
ray-project,ray,18400,https://github.com/ray-project/ray
deezer,spleeter,18000,https://github.com/deezer/spleeter
ChristosChristofidis,awesome-deep-learning,18000,https://github.com/ChristosChristofidis/awesome-deep-learning
AlexeyAB,darknet,18000,https://github.com/AlexeyAB/darknet
eugeneyan,applied-ml,17800,https://github.com/eugeneyan/applied-ml
