username,repo_name,stars,repo_url
GetStream,vg,1200,https://github.com/GetStream/vg
ehmicky,nve,542,https://github.com/ehmicky/nve
coenjacobs,mozart,309,https://github.com/coenjacobs/mozart
thoth-station,micropipenv,133,https://github.com/thoth-station/micropipenv
netlify,framework-info,102,https://github.com/netlify/framework-info
aaronpeikert,reproducible-research,101,https://github.com/aaronpeikert/reproducible-research
pichillilorenzo,deps-report,80,https://github.com/pichillilorenzo/deps-report
stempler,bnd-platform,74,https://github.com/stempler/bnd-platform
silverwind,updates,69,https://github.com/silverwind/updates
momosecurity,mosec-maven-plugin,58,https://github.com/momosecurity/mosec-maven-plugin
ewohltman,graphdot,45,https://github.com/ewohltman/graphdot
kevcodez,gradle-upgrade-interactive,44,https://github.com/kevcodez/gradle-upgrade-interactive
depscloud,depscloud,36,https://github.com/depscloud/depscloud
fkorotkov,gradle-libraries-plugin,29,https://github.com/fkorotkov/gradle-libraries-plugin
pilosus,pip-license-checker,24,https://github.com/pilosus/pip-license-checker
ecoAPM,dotnet-libyear,23,https://github.com/ecoAPM/dotnet-libyear
nikhil-thakkar,multi-module-dependency-setup,21,https://github.com/nikhil-thakkar/multi-module-dependency-setup
ehmicky,get-bin-path,21,https://github.com/ehmicky/get-bin-path
ehmicky,nvexeca,20,https://github.com/ehmicky/nvexeca
subelsky,dim,18,https://github.com/subelsky/dim
scalacenter,sbt-eviction-rules,17,https://github.com/scalacenter/sbt-eviction-rules
momosecurity,mosec-composer-plugin,17,https://github.com/momosecurity/mosec-composer-plugin
saadmk11,github-actions-version-updater,16,https://github.com/saadmk11/github-actions-version-updater
momosecurity,mosec-pip-plugin,16,https://github.com/momosecurity/mosec-pip-plugin
ehmicky,get-node,14,https://github.com/ehmicky/get-node
momosecurity,mosec-node-plugin,13,https://github.com/momosecurity/mosec-node-plugin
pilosus,action-pip-license-checker,12,https://github.com/pilosus/action-pip-license-checker
momosecurity,mosec-gradle-plugin,9,https://github.com/momosecurity/mosec-gradle-plugin
mikroskeem,PicoMaven,7,https://github.com/mikroskeem/PicoMaven
ecoAPM,php-libyear,6,https://github.com/ecoAPM/php-libyear
