username,repo_name,stars,repo_url
django,django,61000,https://github.com/django/django
getsentry,sentry,29600,https://github.com/getsentry/sentry
LeCoupa,awesome-cheatsheets,25800,https://github.com/LeCoupa/awesome-cheatsheets
encode,django-rest-framework,22300,https://github.com/encode/django-rest-framework
jumpserver,jumpserver,17500,https://github.com/jumpserver/jumpserver
saleor,saleor,14600,https://github.com/saleor/saleor
Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
wagtail,wagtail,11300,https://github.com/wagtail/wagtail
ansible,awx,10400,https://github.com/ansible/awx
cookiecutter,cookiecutter-django,8800,https://github.com/cookiecutter/cookiecutter-django
django-cms,django-cms,8500,https://github.com/django-cms/django-cms
graphite-project,graphite-web,5400,https://github.com/graphite-project/graphite-web
PostHog,posthog,5300,https://github.com/PostHog/posthog
arachnys,cabot,5200,https://github.com/arachnys/cabot
django-oscar,django-oscar,5100,https://github.com/django-oscar/django-oscar
wsvincent,awesome-django,4700,https://github.com/wsvincent/awesome-django
QingdaoU,OnlineJudge,4400,https://github.com/QingdaoU/OnlineJudge
healthchecks,healthchecks,4300,https://github.com/healthchecks/healthchecks
liangliangyy,DjangoBlog,4200,https://github.com/liangliangyy/DjangoBlog
graphql-python,graphene-django,3700,https://github.com/graphql-python/graphene-django
joerick,pyinstrument,3600,https://github.com/joerick/pyinstrument
LibrePhotos,librephotos,3400,https://github.com/LibrePhotos/librephotos
jonaswinkler,paperless-ng,3300,https://github.com/jonaswinkler/paperless-ng
geex-arts,django-jet,3200,https://github.com/geex-arts/django-jet
jpadilla,django-rest-framework-jwt,3100,https://github.com/jpadilla/django-rest-framework-jwt
guohongze,adminset,3000,https://github.com/guohongze/adminset
lepture,authlib,2800,https://github.com/lepture/authlib
FactoryBoy,factory_boy,2700,https://github.com/FactoryBoy/factory_boy
awesto,django-shop,2700,https://github.com/awesto/django-shop
WeblateOrg,weblate,2700,https://github.com/WeblateOrg/weblate
