username,repo_name,stars,repo_url
moby,moby,61700,https://github.com/moby/moby
netdata,netdata,56900,https://github.com/netdata/netdata
macrozheng,mall,54500,https://github.com/macrozheng/mall
traefik,traefik,35900,https://github.com/traefik/traefik
Kong,kong,30700,https://github.com/Kong/kong
wagoodman,dive,28700,https://github.com/wagoodman/dive
ityouknow,spring-boot-examples,26700,https://github.com/ityouknow/spring-boot-examples
mastodon,mastodon,26000,https://github.com/mastodon/mastodon
LeCoupa,awesome-cheatsheets,25800,https://github.com/LeCoupa/awesome-cheatsheets
docker,compose,24300,https://github.com/docker/compose
harness,drone,24200,https://github.com/harness/drone
dokku,dokku,22100,https://github.com/dokku/dokku
veggiemonk,awesome-docker,20800,https://github.com/veggiemonk/awesome-docker
openfaas,faas,20700,https://github.com/openfaas/faas
wsargent,docker-cheat-sheet,20500,https://github.com/wsargent/docker-cheat-sheet
portainer,portainer,20300,https://github.com/portainer/portainer
yeasy,docker_practice,19700,https://github.com/yeasy/docker_practice
bregman-arie,devops-exercises,19600,https://github.com/bregman-arie/devops-exercises
dotnet-architecture,eShopOnContainers,19300,https://github.com/dotnet-architecture/eShopOnContainers
jhipster,generator-jhipster,19100,https://github.com/jhipster/generator-jhipster
n8n-io,n8n,19100,https://github.com/n8n-io/n8n
sickcodes,Docker-OSX,18900,https://github.com/sickcodes/Docker-OSX
rancher,rancher,18100,https://github.com/rancher/rancher
nginx-proxy,nginx-proxy,15500,https://github.com/nginx-proxy/nginx-proxy
appwrite,appwrite,14400,https://github.com/appwrite/appwrite
NVIDIA,nvidia-docker,13900,https://github.com/NVIDIA/nvidia-docker
outline,outline,13700,https://github.com/outline/outline
verdaccio,verdaccio,12600,https://github.com/verdaccio/verdaccio
eip-work,kuboard-press,12500,https://github.com/eip-work/kuboard-press
ramitsurana,awesome-kubernetes,12300,https://github.com/ramitsurana/awesome-kubernetes
