username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,100000,https://github.com/jlevy/the-art-of-command-line
storybookjs,storybook,66900,https://github.com/storybookjs/storybook
tldr-pages,tldr,36200,https://github.com/tldr-pages/tldr
facebook,docusaurus,28700,https://github.com/facebook/docusaurus
satwikkansal,wtfpython,27700,https://github.com/satwikkansal/wtfpython
chubin,cheat.sh,27700,https://github.com/chubin/cheat.sh
freeCodeCamp,devdocs,27100,https://github.com/freeCodeCamp/devdocs
doczjs,docz,22000,https://github.com/doczjs/docz
docsifyjs,docsify,19200,https://github.com/docsifyjs/docsify
charlax,professional-programming,15900,https://github.com/charlax/professional-programming
Requarks,wiki,14900,https://github.com/Requarks/wiki
shimohq,chinese-programmer-wrong-pronunciation,14700,https://github.com/shimohq/chinese-programmer-wrong-pronunciation
SimulatedGREG,electron-vue,14600,https://github.com/SimulatedGREG/electron-vue
nhn,tui.editor,14000,https://github.com/nhn/tui.editor
mkdocs,mkdocs,13200,https://github.com/mkdocs/mkdocs
jsdoc,jsdoc,12500,https://github.com/jsdoc/jsdoc
pandao,editor.md,11700,https://github.com/pandao/editor.md
sparanoid,chinese-copywriting-guidelines,10600,https://github.com/sparanoid/chinese-copywriting-guidelines
styleguidist,react-styleguidist,10200,https://github.com/styleguidist/react-styleguidist
github,opensource.guide,9400,https://github.com/github/opensource.guide
zealdocs,zeal,9100,https://github.com/zealdocs/zeal
cheat,cheat,8500,https://github.com/cheat/cheat
squidfunk,mkdocs-material,8100,https://github.com/squidfunk/mkdocs-material
BookStackApp,BookStack,7600,https://github.com/BookStackApp/BookStack
Kapeli,Dash-iOS,7000,https://github.com/Kapeli/Dash-iOS
reactjs,reactjs.org,6600,https://github.com/reactjs/reactjs.org
nayafia,lemonade-stand,6500,https://github.com/nayafia/lemonade-stand
documentationjs,documentation,5400,https://github.com/documentationjs/documentation
TypeStrong,typedoc,5300,https://github.com/TypeStrong/typedoc
tensorflow,docs,5000,https://github.com/tensorflow/docs
