username,repo_name,stars,repo_url
airbnb,javascript,117000,https://github.com/airbnb/javascript
goldbergyoni,nodebestpractices,72500,https://github.com/goldbergyoni/nodebestpractices
standard,standard,26400,https://github.com/standard/standard
eslint,eslint,19600,https://github.com/eslint/eslint
verekia,js-stack-from-scratch,18800,https://github.com/verekia/js-stack-from-scratch
electron-react-boilerplate,electron-react-boilerplate,18600,https://github.com/electron-react-boilerplate/electron-react-boilerplate
grab,front-end-guide,14000,https://github.com/grab/front-end-guide
typescript-eslint,typescript-eslint,10800,https://github.com/typescript-eslint/typescript-eslint
okonet,lint-staged,9400,https://github.com/okonet/lint-staged
yannickcr,eslint-plugin-react,7400,https://github.com/yannickcr/eslint-plugin-react
xojs,xo,6200,https://github.com/xojs/xo
bartonhammond,snowflake,4600,https://github.com/bartonhammond/snowflake
import-js,eslint-plugin-import,3700,https://github.com/import-js/eslint-plugin-import
emacs-lsp,lsp-mode,3700,https://github.com/emacs-lsp/lsp-mode
vuejs,eslint-plugin-vue,3600,https://github.com/vuejs/eslint-plugin-vue
prettier,eslint-config-prettier,3400,https://github.com/prettier/eslint-config-prettier
prettier,prettier-eslint,3400,https://github.com/prettier/prettier-eslint
microsoft,rushstack,3400,https://github.com/microsoft/rushstack
babel,babel-eslint,3000,https://github.com/babel/babel-eslint
kunalkapadia,express-mongoose-es6-rest-api,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
dustinspecker,awesome-eslint,2700,https://github.com/dustinspecker/awesome-eslint
amilajack,eslint-plugin-compat,2700,https://github.com/amilajack/eslint-plugin-compat
jsx-eslint,eslint-plugin-jsx-a11y,2600,https://github.com/jsx-eslint/eslint-plugin-jsx-a11y
nas5w,100-days-of-code-frontend,2400,https://github.com/nas5w/100-days-of-code-frontend
wesbos,eslint-config-wesbos,2300,https://github.com/wesbos/eslint-config-wesbos
standard,eslint-config-standard,2200,https://github.com/standard/eslint-config-standard
AlloyTeam,eslint-config-alloy,2200,https://github.com/AlloyTeam/eslint-config-alloy
sindresorhus,eslint-plugin-unicorn,2100,https://github.com/sindresorhus/eslint-plugin-unicorn
suanmei,callapp-lib,1800,https://github.com/suanmei/callapp-lib
ericalli,static-site-boilerplate,1600,https://github.com/ericalli/static-site-boilerplate
