username,repo_name,stars,repo_url
microsoft,vscode,125000,https://github.com/microsoft/vscode
electron,electron,99200,https://github.com/electron/electron
atom,atom,56400,https://github.com/atom/atom
GitSquared,edex-ui,34700,https://github.com/GitSquared/edex-ui
microsoft,playwright,31000,https://github.com/microsoft/playwright
nativefier,nativefier,29200,https://github.com/nativefier/nativefier
agalwood,Motrix,29100,https://github.com/agalwood/Motrix
laurent22,joplin,26700,https://github.com/laurent22/joplin
typeorm,typeorm,26400,https://github.com/typeorm/typeorm
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
sindresorhus,awesome-electron,22200,https://github.com/sindresorhus/awesome-electron
marktext,marktext,21900,https://github.com/marktext/marktext
Eugeny,tabby,20600,https://github.com/Eugeny/tabby
quasarframework,quasar,20000,https://github.com/quasarframework/quasar
railsware,upterm,19500,https://github.com/railsware/upterm
segmentio,nightmare,19100,https://github.com/segmentio/nightmare
notable,notable,18800,https://github.com/notable/notable
electron-react-boilerplate,electron-react-boilerplate,18600,https://github.com/electron-react-boilerplate/electron-react-boilerplate
BoostIO,BoostNote-Legacy,17400,https://github.com/BoostIO/BoostNote-Legacy
typicode,lowdb,16800,https://github.com/typicode/lowdb
pubkey,rxdb,16600,https://github.com/pubkey/rxdb
eclipse-theia,theia,15900,https://github.com/eclipse-theia/theia
oldj,SwitchHosts,15200,https://github.com/oldj/SwitchHosts
Molunerfinn,PicGo,15200,https://github.com/Molunerfinn/PicGo
zulip,zulip,14700,https://github.com/zulip/zulip
SimulatedGREG,electron-vue,14600,https://github.com/SimulatedGREG/electron-vue
wulkano,Kap,14400,https://github.com/wulkano/Kap
responsively-org,responsively-app,14200,https://github.com/responsively-org/responsively-app
geeeeeeeeek,electronic-wechat,13900,https://github.com/geeeeeeeeek/electronic-wechat
desktop,desktop,13600,https://github.com/desktop/desktop
