username,repo_name,stars,repo_url
syl20bnr,spacemacs,21900,https://github.com/syl20bnr/spacemacs
hlissner,doom-emacs,12600,https://github.com/hlissner/doom-emacs
atlas-engineer,nyxt,7000,https://github.com/atlas-engineer/nyxt
emacs-tw,awesome-emacs,6700,https://github.com/emacs-tw/awesome-emacs
magit,magit,5400,https://github.com/magit/magit
mickael-kerjean,filestash,5200,https://github.com/mickael-kerjean/filestash
bbatsov,prelude,4700,https://github.com/bbatsov/prelude
remacs,remacs,4500,https://github.com/remacs/remacs
jwiegley,use-package,3700,https://github.com/jwiegley/use-package
emacs-lsp,lsp-mode,3700,https://github.com/emacs-lsp/lsp-mode
bbatsov,projectile,3500,https://github.com/bbatsov/projectile
clojure-emacs,cider,3200,https://github.com/clojure-emacs/cider
emacs-helm,helm,3100,https://github.com/emacs-helm/helm
emacs-evil,evil,2200,https://github.com/emacs-evil/evil
for-GET,know-your-http-well,2200,https://github.com/for-GET/know-your-http-well
flycheck,flycheck,2100,https://github.com/flycheck/flycheck
emacs-china,Spacemacs-rocks,2000,https://github.com/emacs-china/Spacemacs-rocks
abo-abo,swiper,1900,https://github.com/abo-abo/swiper
emacs-eaf,emacs-application-framework,1900,https://github.com/emacs-eaf/emacs-application-framework
raxod502,straight.el,1800,https://github.com/raxod502/straight.el
hlissner,emacs-doom-themes,1700,https://github.com/hlissner/emacs-doom-themes
auto-complete,auto-complete,1600,https://github.com/auto-complete/auto-complete
200ok-ch,organice,1600,https://github.com/200ok-ch/organice
slime,slime,1500,https://github.com/slime/slime
Fuco1,smartparens,1500,https://github.com/Fuco1/smartparens
Kungsgeten,org-brain,1500,https://github.com/Kungsgeten/org-brain
fxbois,web-mode,1500,https://github.com/fxbois/web-mode
Alexander-Miller,treemacs,1500,https://github.com/Alexander-Miller/treemacs
seagle0128,.emacs.d,1400,https://github.com/seagle0128/.emacs.d
ocaml,merlin,1400,https://github.com/ocaml/merlin
