username,repo_name,stars,repo_url
storybookjs,storybook,66900,https://github.com/storybookjs/storybook
TryGhost,Ghost,39100,https://github.com/TryGhost/Ghost
discourse,discourse,34500,https://github.com/discourse/discourse
emberjs,ember.js,22100,https://github.com/emberjs/ember.js
text-mask,text-mask,8100,https://github.com/text-mask/text-mask
szimek,sharedrop,5200,https://github.com/szimek/sharedrop
ember-cli,ember-cli,3300,https://github.com/ember-cli/ember-cli
emberjs,data,3000,https://github.com/emberjs/data
simplabs,ember-simple-auth,1900,https://github.com/simplabs/ember-simple-auth
Addepar,ember-table,1700,https://github.com/Addepar/ember-table
krakenjs,zoid,1700,https://github.com/krakenjs/zoid
FancyGrid,awesome-grid,1200,https://github.com/FancyGrid/awesome-grid
emberjs,ember-inspector,945,https://github.com/emberjs/ember-inspector
Shopify,storefront-api-examples,917,https://github.com/Shopify/storefront-api-examples
miguelcobain,ember-paper,873,https://github.com/miguelcobain/ember-paper
miragejs,ember-cli-mirage,857,https://github.com/miragejs/ember-cli-mirage
adopted-ember-addons,ember-electron,795,https://github.com/adopted-ember-addons/ember-electron
emberjs,rfcs,737,https://github.com/emberjs/rfcs
emberjs,website,625,https://github.com/emberjs/website
travis-ci,travis-web,592,https://github.com/travis-ci/travis-web
TryGhost,Admin,585,https://github.com/TryGhost/Admin
cibernox,ember-power-select,525,https://github.com/cibernox/ember-power-select
rancher,ui,513,https://github.com/rancher/ui
ember-engines,ember-engines,491,https://github.com/ember-engines/ember-engines
kaliber5,ember-bootstrap,480,https://github.com/kaliber5/ember-bootstrap
offirgolan,ember-cp-validations,444,https://github.com/offirgolan/ember-cp-validations
ember-intl,ember-intl,424,https://github.com/ember-intl/ember-intl
Esri,esri-loader,416,https://github.com/Esri/esri-loader
ember-infinity,ember-infinity,373,https://github.com/ember-infinity/ember-infinity
eoinkelly,ember-runloop-handbook,370,https://github.com/eoinkelly/ember-runloop-handbook
