username,repo_name,stars,repo_url
willmcgugan,rich,31300,https://github.com/willmcgugan/rich
marktext,marktext,21900,https://github.com/marktext/marktext
twitter,twemoji,13500,https://github.com/twitter/twemoji
carloscuesta,gitmoji,10900,https://github.com/carloscuesta/gitmoji
ikatyang,emoji-cheat-sheet,5800,https://github.com/ikatyang/emoji-cheat-sheet
tindy2013,subconverter,4800,https://github.com/tindy2013/subconverter
missive,emoji-mart,4700,https://github.com/missive/emoji-mart
github,gemoji,3900,https://github.com/github/gemoji
Coding,Coding-iOS,3800,https://github.com/Coding/Coding-iOS
carloscuesta,gitmoji-cli,3500,https://github.com/carloscuesta/gitmoji-cli
burhanrashid52,PhotoEditor,3100,https://github.com/burhanrashid52/PhotoEditor
twitter,twitter-text,2600,https://github.com/twitter/twitter-text
MariaLetta,free-gophers-pack,2300,https://github.com/MariaLetta/free-gophers-pack
muan,emoji,2100,https://github.com/muan/emoji
hfg-gmuend,openmoji,2000,https://github.com/hfg-gmuend/openmoji
muan,mojibar,2000,https://github.com/muan/mojibar
getActivity,EmojiPackage,1800,https://github.com/getActivity/EmojiPackage
liuchengxu,git-commit-emoji-cn,1700,https://github.com/liuchengxu/git-commit-emoji-cn
muan,emojilib,1400,https://github.com/muan/emojilib
carpedm20,emoji,1400,https://github.com/carpedm20/emoji
mathiasbynens,emoji-regex,1300,https://github.com/mathiasbynens/emoji-regex
lambtron,emojipacks,1300,https://github.com/lambtron/emojipacks
vanniktech,Emoji,1300,https://github.com/vanniktech/Emoji
ritz078,embed-js,1200,https://github.com/ritz078/embed-js
eosrei,twemoji-color-font,1200,https://github.com/eosrei/twemoji-color-font
omnidan,node-emoji,1000,https://github.com/omnidan/node-emoji
Jolg42,awesome-typography,1000,https://github.com/Jolg42/awesome-typography
thedevelobear,react-rewards,968,https://github.com/thedevelobear/react-rewards
slashsbin,styleguide-git-commit-message,952,https://github.com/slashsbin/styleguide-git-commit-message
simonbs,SBSAnimoji,923,https://github.com/simonbs/SBSAnimoji
