username,repo_name,stars,repo_url
yuzu-emu,yuzu,17200,https://github.com/yuzu-emu/yuzu
OpenEmu,OpenEmu,13300,https://github.com/OpenEmu/OpenEmu
copy,v86,12700,https://github.com/copy/v86
ish-app,ish,10900,https://github.com/ish-app/ish
Ryujinx,Ryujinx,10400,https://github.com/Ryujinx/Ryujinx
ruffle-rs,ruffle,9100,https://github.com/ruffle-rs/ruffle
dolphin-emu,dolphin,8000,https://github.com/dolphin-emu/dolphin
amitshekhariitbhu,Android-Debug-Database,7900,https://github.com/amitshekhariitbhu/Android-Debug-Database
felixrieseberg,macintosh.js,7600,https://github.com/felixrieseberg/macintosh.js
citra-emu,citra,7000,https://github.com/citra-emu/citra
PCSX2,pcsx2,5700,https://github.com/PCSX2/pcsx2
xenia-project,xenia,5400,https://github.com/xenia-project/xenia
bfirsh,jsnes,5300,https://github.com/bfirsh/jsnes
unicorn-engine,unicorn,4900,https://github.com/unicorn-engine/unicorn
Provenance-Emu,Provenance,4700,https://github.com/Provenance-Emu/Provenance
HFO4,gameboy.live,4300,https://github.com/HFO4/gameboy.live
mininet,mininet,4200,https://github.com/mininet/mininet
budtmo,docker-android,4000,https://github.com/budtmo/docker-android
CalebFenton,simplify,3900,https://github.com/CalebFenton/simplify
Baekalfen,PyBoy,3300,https://github.com/Baekalfen/PyBoy
amhndu,SimpleNES,2900,https://github.com/amhndu/SimpleNES
stenzek,duckstation,2800,https://github.com/stenzek/duckstation
qilingframework,qiling,2800,https://github.com/qilingframework/qiling
cea-sec,miasm,2600,https://github.com/cea-sec/miasm
jcubic,jquery.terminal,2600,https://github.com/jcubic/jquery.terminal
Humpheh,goboy,2400,https://github.com/Humpheh/goboy
skyline-emu,skyline,2300,https://github.com/skyline-emu/skyline
iVoider,PlayCover,2300,https://github.com/iVoider/PlayCover
azerothcore,azerothcore-wotlk,1700,https://github.com/azerothcore/azerothcore-wotlk
Cxbx-Reloaded,Cxbx-Reloaded,1700,https://github.com/Cxbx-Reloaded/Cxbx-Reloaded
