username,repo_name,stars,repo_url
ethereum,go-ethereum,33800,https://github.com/ethereum/go-ethereum
ccxt,ccxt,22300,https://github.com/ccxt/ccxt
OpenZeppelin,openzeppelin-contracts,13900,https://github.com/OpenZeppelin/openzeppelin-contracts
ethereum,solidity,13400,https://github.com/ethereum/solidity
ChainSafe,web3.js,12300,https://github.com/ChainSafe/web3.js
trufflesuite,truffle,11700,https://github.com/trufflesuite/truffle
ethereumbook,ethereumbook,11400,https://github.com/ethereumbook/ethereumbook
ethereum,mist,7400,https://github.com/ethereum/mist
openethereum,parity-ethereum,6500,https://github.com/openethereum/parity-ethereum
MetaMask,metamask-extension,6400,https://github.com/MetaMask/metamask-extension
yeasy,blockchain_guide,5900,https://github.com/yeasy/blockchain_guide
capstone-engine,capstone,5300,https://github.com/capstone-engine/capstone
ConsenSys,smart-contract-best-practices,4700,https://github.com/ConsenSys/smart-contract-best-practices
scaffold-eth,scaffold-eth,4400,https://github.com/scaffold-eth/scaffold-eth
ConsenSys,quorum,4000,https://github.com/ConsenSys/quorum
ethereum,aleth,3900,https://github.com/ethereum/aleth
smartcontractkit,full-blockchain-solidity-course-py,3700,https://github.com/smartcontractkit/full-blockchain-solidity-course-py
trufflesuite,ganache-ui,3700,https://github.com/trufflesuite/ganache-ui
CryptoSignal,Crypto-Signal,3600,https://github.com/CryptoSignal/Crypto-Signal
Scanate,EthList,3600,https://github.com/Scanate/EthList
web3j,web3j,3500,https://github.com/web3j/web3j
ethers-io,ethers.js,3500,https://github.com/ethers-io/ethers.js
embarklabs,embark,3500,https://github.com/embarklabs/embark
Zheaoli,awesome-coins,3500,https://github.com/Zheaoli/awesome-coins
coinpride,CryptoList,3400,https://github.com/coinpride/CryptoList
vyperlang,vyper,3400,https://github.com/vyperlang/vyper
status-im,status-react,3300,https://github.com/status-im/status-react
SqueezerIO,squeezer,3200,https://github.com/SqueezerIO/squeezer
openblockchains,awesome-blockchains,3200,https://github.com/openblockchains/awesome-blockchains
golemfactory,clay,3000,https://github.com/golemfactory/clay
