username,repo_name,stars,repo_url
supabase,supabase,23800,https://github.com/supabase/supabase
pubkey,rxdb,16600,https://github.com/pubkey/rxdb
appwrite,appwrite,14400,https://github.com/appwrite/appwrite
firebase,functions-samples,10600,https://github.com/firebase/functions-samples
invertase,react-native-firebase,9700,https://github.com/invertase/react-native-firebase
firebase,quickstart-android,7900,https://github.com/firebase/quickstart-android
angular,angularfire,7000,https://github.com/angular/angularfire
FirebaseExtended,flutterfire,5900,https://github.com/FirebaseExtended/flutterfire
kriasoft,react-firebase-starter,4400,https://github.com/kriasoft/react-firebase-starter
microg,GmsCore,4300,https://github.com/microg/GmsCore
firebase,FirebaseUI-Android,4300,https://github.com/firebase/FirebaseUI-Android
Th3Wall,Fakeflix,4000,https://github.com/Th3Wall/Fakeflix
firebase,firebase-js-sdk,3800,https://github.com/firebase/firebase-js-sdk
devias-io,material-kit-react,3400,https://github.com/devias-io/material-kit-react
spacecloud-io,space-cloud,3300,https://github.com/spacecloud-io/space-cloud
firebase,firebase-ios-sdk,3300,https://github.com/firebase/firebase-ios-sdk
vuejs,vuefire,3200,https://github.com/vuejs/vuefire
FirebaseExtended,reactfire,2900,https://github.com/FirebaseExtended/reactfire
prescottprue,react-redux-firebase,2500,https://github.com/prescottprue/react-redux-firebase
Canner,cannercms,2500,https://github.com/Canner/cannercms
rowyio,rowy,2400,https://github.com/rowyio/rowy
alyssaxuu,mapus,2400,https://github.com/alyssaxuu/mapus
firebase,quickstart-ios,2300,https://github.com/firebase/quickstart-ios
CSFrequency,react-firebase-hooks,2200,https://github.com/CSFrequency/react-firebase-hooks
unicodeveloper,awesome-opensource-apps,2200,https://github.com/unicodeveloper/awesome-opensource-apps
insin,react-hn,2200,https://github.com/insin/react-hn
tylermcginnis,re-base,2200,https://github.com/tylermcginnis/re-base
WorldHealthOrganization,app,2100,https://github.com/WorldHealthOrganization/app
google,santa-tracker-android,2100,https://github.com/google/santa-tracker-android
cerebral,cerebral,1900,https://github.com/cerebral/cerebral
