username,repo_name,stars,repo_url
FiloSottile,mkcert,32800,https://github.com/FiloSottile/mkcert
microsoft,playwright,31000,https://github.com/microsoft/playwright
gorhill,uBlock,27200,https://github.com/gorhill/uBlock
ovity,octotree,21700,https://github.com/ovity/octotree
iamadamdev,bypass-paywalls-chrome,20500,https://github.com/iamadamdev/bypass-paywalls-chrome
ArchiveBox,ArchiveBox,12300,https://github.com/ArchiveBox/ArchiveBox
mozilla-mobile,firefox-ios,10600,https://github.com/mozilla-mobile/firefox-ios
crimx,ext-saladict,8300,https://github.com/crimx/ext-saladict
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
MetaMask,metamask-extension,6400,https://github.com/MetaMask/metamask-extension
mozilla,geckodriver,5600,https://github.com/mozilla/geckodriver
microsoft,playwright-python,5500,https://github.com/microsoft/playwright-python
mozilla-mobile,fenix,5400,https://github.com/mozilla-mobile/fenix
Kenshin,simpread,5300,https://github.com/Kenshin/simpread
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
gildas-lormeau,SingleFile,4300,https://github.com/gildas-lormeau/SingleFile
arkenfox,user.js,4300,https://github.com/arkenfox/user.js
Anarios,return-youtube-dislike,4100,https://github.com/Anarios/return-youtube-dislike
moonD4rk,HackBrowserData,3800,https://github.com/moonD4rk/HackBrowserData
brookhong,Surfingkeys,3800,https://github.com/brookhong/Surfingkeys
melonjs,melonJS,3700,https://github.com/melonjs/melonJS
jonasstrehle,supercookie,3600,https://github.com/jonasstrehle/supercookie
cyrus-and,chrome-remote-interface,3600,https://github.com/cyrus-and/chrome-remote-interface
lmk123,crx-selection-translate,3600,https://github.com/lmk123/crx-selection-translate
web-platform-tests,wpt,3600,https://github.com/web-platform-tests/wpt
ajayyy,SponsorBlock,3500,https://github.com/ajayyy/SponsorBlock
tridactyl,tridactyl,3500,https://github.com/tridactyl/tridactyl
bitwarden,browser,3300,https://github.com/bitwarden/browser
subhra74,xdm,3200,https://github.com/subhra74/xdm
iamadamdev,bypass-paywalls-firefox,3100,https://github.com/iamadamdev/bypass-paywalls-firefox
