username,repo_name,stars,repo_url
FortAwesome,Font-Awesome,66800,https://github.com/FortAwesome/Font-Awesome
tonsky,FiraCode,60500,https://github.com/tonsky/FiraCode
ryanoasis,nerd-fonts,31400,https://github.com/ryanoasis/nerd-fonts
you-dont-need,You-Dont-Need-JavaScript,16400,https://github.com/you-dont-need/You-Dont-Need-JavaScript
source-foundry,Hack,14500,https://github.com/source-foundry/Hack
gztchan,awesome-design,13300,https://github.com/gztchan/awesome-design
rsms,inter,13200,https://github.com/rsms/inter
be5invis,Iosevka,13100,https://github.com/be5invis/Iosevka
faressoft,terminalizer,12100,https://github.com/faressoft/terminalizer
neutraltone,awesome-stock-resources,10100,https://github.com/neutraltone/awesome-stock-resources
adobe-fonts,source-han-sans,10100,https://github.com/adobe-fonts/source-han-sans
cdnjs,cdnjs,9300,https://github.com/cdnjs/cdnjs
dompdf,dompdf,8400,https://github.com/dompdf/dompdf
IBM,plex,7200,https://github.com/IBM/plex
ubuwaits,beautiful-web-type,7100,https://github.com/ubuwaits/beautiful-web-type
be5invis,Sarasa-Gothic,6700,https://github.com/be5invis/Sarasa-Gothic
snowie2000,mactype,6700,https://github.com/snowie2000/mactype
JetBrains,JetBrainsMono,6100,https://github.com/JetBrains/JetBrainsMono
adobe-fonts,source-han-serif,5900,https://github.com/adobe-fonts/source-han-serif
belluzj,fantasque-sans,5800,https://github.com/belluzj/fantasque-sans
chrissimpkins,codeface,5600,https://github.com/chrissimpkins/codeface
i-tu,Hasklig,5100,https://github.com/i-tu/Hasklig
devicons,devicon,4500,https://github.com/devicons/devicon
ecomfe,fontmin,4400,https://github.com/ecomfe/fontmin
uswds,public-sans,4100,https://github.com/uswds/public-sans
opentypejs,opentype.js,3400,https://github.com/opentypejs/opentype.js
lxgw,LxgwWenKai,3000,https://github.com/lxgw/LxgwWenKai
alfredxing,brick,2900,https://github.com/alfredxing/brick
olikraus,u8g2,2700,https://github.com/olikraus/u8g2
kiliman,operator-mono-lig,2700,https://github.com/kiliman/operator-mono-lig
