username,repo_name,stars,repo_url
vuejs,vue,191000,https://github.com/vuejs/vue
laravel,laravel,67500,https://github.com/laravel/laravel
django,django,61000,https://github.com/django/django
spring-projects,spring-boot,58500,https://github.com/spring-projects/spring-boot
gin-gonic,gin,53500,https://github.com/gin-gonic/gin
rails,rails,49500,https://github.com/rails/rails
ionic-team,ionic-framework,45700,https://github.com/ionic-team/ionic-framework
spring-projects,spring-framework,45200,https://github.com/spring-projects/spring-framework
meteor,meteor,42700,https://github.com/meteor/meteor
nestjs,nest,42600,https://github.com/nestjs/nest
scrapy,scrapy,42300,https://github.com/scrapy/scrapy
tiangolo,fastapi,39000,https://github.com/tiangolo/fastapi
nuxt,nuxt.js,38900,https://github.com/nuxt/nuxt.js
Dogfalo,materialize,38600,https://github.com/Dogfalo/materialize
symfony,symfony,26100,https://github.com/symfony/symfony
laravel,framework,25600,https://github.com/laravel/framework
postcss,postcss,25500,https://github.com/postcss/postcss
akveo,ngx-admin,23300,https://github.com/akveo/ngx-admin
ianstormtaylor,slate,23000,https://github.com/ianstormtaylor/slate
mdbootstrap,mdb-ui-kit,21800,https://github.com/mdbootstrap/mdb-ui-kit
kataras,iris,21500,https://github.com/kataras/iris
vapor,vapor,21100,https://github.com/vapor/vapor
libgdx,libgdx,19400,https://github.com/libgdx/libgdx
jorgebucaran,hyperapp,18700,https://github.com/jorgebucaran/hyperapp
eggjs,egg,17600,https://github.com/eggjs/egg
python-telegram-bot,python-telegram-bot,17100,https://github.com/python-telegram-bot/python-telegram-bot
alibaba,ice,16900,https://github.com/alibaba/ice
gofiber,fiber,16600,https://github.com/gofiber/fiber
framework7io,framework7,16500,https://github.com/framework7io/framework7
dvajs,dva,15900,https://github.com/dvajs/dva
