username,repo_name,stars,repo_url
godotengine,godot,44200,https://github.com/godotengine/godot
leereilly,games,18500,https://github.com/leereilly/games
cocos2d,cocos2d-x,15700,https://github.com/cocos2d/cocos2d-x
BabylonJS,Babylon.js,15400,https://github.com/BabylonJS/Babylon.js
aframevr,aframe,13400,https://github.com/aframevr/aframe
liabru,matter-js,12300,https://github.com/liabru/matter-js
bevyengine,bevy,11900,https://github.com/bevyengine/bevy
SFTtech,openage,10700,https://github.com/SFTtech/openage
OpenRA,OpenRA,10200,https://github.com/OpenRA/OpenRA
OpenDiablo2,OpenDiablo2,10000,https://github.com/OpenDiablo2/OpenDiablo2
kitao,pyxel,8900,https://github.com/kitao/pyxel
boardgameio,boardgame.io,8900,https://github.com/boardgameio/boardgame.io
ellisonleao,magictools,8800,https://github.com/ellisonleao/magictools
raysan5,raylib,8100,https://github.com/raysan5/raylib
MonoGame,MonoGame,8000,https://github.com/MonoGame/MonoGame
amethyst,amethyst,7600,https://github.com/amethyst/amethyst
playcanvas,engine,6800,https://github.com/playcanvas/engine
minetest,minetest,6400,https://github.com/minetest/minetest
skypjack,entt,6000,https://github.com/skypjack/entt
hajimehoshi,ebiten,5500,https://github.com/hajimehoshi/ebiten
sschmid,Entitas-CSharp,5400,https://github.com/sschmid/Entitas-CSharp
egametang,ET,5000,https://github.com/egametang/ET
flame-engine,flame,5000,https://github.com/flame-engine/flame
o3de,o3de,3800,https://github.com/o3de/o3de
urho3d,Urho3D,3700,https://github.com/urho3d/Urho3D
faiface,pixel,3700,https://github.com/faiface/pixel
mosra,magnum,3700,https://github.com/mosra/magnum
melonjs,melonJS,3700,https://github.com/melonjs/melonJS
egret-labs,egret-core,3600,https://github.com/egret-labs/egret-core
stride3d,stride,3500,https://github.com/stride3d/stride
