username,repo_name,stars,repo_url
github,hub,21400,https://github.com/github/hub
tipsy,profile-summary-for-github,19500,https://github.com/tipsy/profile-summary-for-github
google,go-github,8000,https://github.com/google/go-github
devhubapp,devhub,7800,https://github.com/devhubapp/devhub
donnemartin,gitsome,7100,https://github.com/donnemartin/gitsome
github-changelog-generator,github-changelog-generator,6600,https://github.com/github-changelog-generator/github-changelog-generator
michenriksen,gitrob,5200,https://github.com/michenriksen/gitrob
PyGithub,PyGithub,4800,https://github.com/PyGithub/PyGithub
lowlighter,metrics,4500,https://github.com/lowlighter/metrics
manosim,gitify,3500,https://github.com/manosim/gitify
octokit,octokit.rb,3500,https://github.com/octokit/octokit.rb
nslog11,Gitter,3500,https://github.com/nslog11/Gitter
eth0izzle,shhgit,3300,https://github.com/eth0izzle/shhgit
async-labs,builderbook,3000,https://github.com/async-labs/builderbook
jonan,ForkHub,2800,https://github.com/jonan/ForkHub
leonhartX,gas-github,2000,https://github.com/leonhartX/gas-github
AntBranch,awesome-github,2000,https://github.com/AntBranch/awesome-github
KnpLabs,php-github-api,1900,https://github.com/KnpLabs/php-github-api
actions,github-script,1900,https://github.com/actions/github-script
coderyi,Monkey,1800,https://github.com/coderyi/Monkey
debugger22,github-audio,1700,https://github.com/debugger22/github-audio
the-road-to-graphql,react-graphql-github-apollo,1600,https://github.com/the-road-to-graphql/react-graphql-github-apollo
jaywcjlove,github-rank,1500,https://github.com/jaywcjlove/github-rank
GitHub-Laziji,VBlog,1400,https://github.com/GitHub-Laziji/VBlog
kezhenxu94,mini-github,1200,https://github.com/kezhenxu94/mini-github
pksunkara,octonode,1200,https://github.com/pksunkara/octonode
piotrmurach,github,1100,https://github.com/piotrmurach/github
MinhasKamal,DownGit,1100,https://github.com/MinhasKamal/DownGit
jstrieb,github-stats,1100,https://github.com/jstrieb/github-stats
sigmavirus24,github3.py,1100,https://github.com/sigmavirus24/github3.py
