username,repo_name,stars,repo_url
golang,go,92800,https://github.com/golang/go
kubernetes,kubernetes,83200,https://github.com/kubernetes/kubernetes
avelino,awesome-go,71600,https://github.com/avelino/awesome-go
moby,moby,61700,https://github.com/moby/moby
gohugoio,hugo,55600,https://github.com/gohugoio/hugo
gin-gonic,gin,53500,https://github.com/gin-gonic/gin
fatedier,frp,51300,https://github.com/fatedier/frp
grafana,grafana,45200,https://github.com/grafana/grafana
syncthing,syncthing,41700,https://github.com/syncthing/syncthing
junegunn,fzf,40700,https://github.com/junegunn/fzf
gogs,gogs,38100,https://github.com/gogs/gogs
etcd-io,etcd,38100,https://github.com/etcd-io/etcd
traefik,traefik,35900,https://github.com/traefik/traefik
caddyserver,caddy,35600,https://github.com/caddyserver/caddy
ethereum,go-ethereum,33800,https://github.com/ethereum/go-ethereum
minio,minio,30500,https://github.com/minio/minio
rclone,rclone,29900,https://github.com/rclone/rclone
pingcap,tidb,29700,https://github.com/pingcap/tidb
unknwon,the-way-to-go_ZH_CN,28200,https://github.com/unknwon/the-way-to-go_ZH_CN
golang-standards,project-layout,28000,https://github.com/golang-standards/project-layout
beego,beego,27300,https://github.com/beego/beego
go-gitea,gitea,27200,https://github.com/go-gitea/gitea
go-gorm,gorm,26000,https://github.com/go-gorm/gorm
docker,compose,24300,https://github.com/docker/compose
harness,drone,24200,https://github.com/harness/drone
spf13,cobra,24200,https://github.com/spf13/cobra
cockroachdb,cockroach,22600,https://github.com/cockroachdb/cockroach
kubernetes,minikube,22600,https://github.com/kubernetes/minikube
influxdata,influxdb,22500,https://github.com/influxdata/influxdb
hashicorp,vault,22300,https://github.com/hashicorp/vault
