username,repo_name,stars,repo_url
gatsbyjs,gatsby,51800,https://github.com/gatsbyjs/gatsby
strapi,strapi,41400,https://github.com/strapi/strapi
prettier,prettier,41300,https://github.com/prettier/prettier
hoppscotch,hoppscotch,34300,https://github.com/hoppscotch/hoppscotch
hasura,graphql-engine,24700,https://github.com/hasura/graphql-engine
tannerlinsley,react-query,24100,https://github.com/tannerlinsley/react-query
kriasoft,react-starter-kit,21000,https://github.com/kriasoft/react-starter-kit
parse-community,parse-server,19100,https://github.com/parse-community/parse-server
Kong,insomnia,18800,https://github.com/Kong/insomnia
graphql,graphql-js,18200,https://github.com/graphql/graphql-js
apollographql,apollo-client,17000,https://github.com/apollographql/apollo-client
dgraph-io,dgraph,17000,https://github.com/dgraph-io/dgraph
prisma,prisma1,16900,https://github.com/prisma/prisma1
pubkey,rxdb,16600,https://github.com/pubkey/rxdb
saleor,saleor,14600,https://github.com/saleor/saleor
chentsulin,awesome-graphql,13000,https://github.com/chentsulin/awesome-graphql
graphql,graphiql,12900,https://github.com/graphql/graphiql
directus,directus,12900,https://github.com/directus/directus
apollographql,apollo-server,12100,https://github.com/apollographql/apollo-server
reactioncommerce,reaction,11600,https://github.com/reactioncommerce/reaction
spree,spree,11500,https://github.com/spree/spree
graphql,dataloader,11000,https://github.com/graphql/dataloader
graphile,postgraphile,10900,https://github.com/graphile/postgraphile
withspectrum,spectrum,10300,https://github.com/withspectrum/spectrum
redwoodjs,redwood,10200,https://github.com/redwoodjs/redwood
apex,up,8400,https://github.com/apex/up
graphql-go,graphql,8200,https://github.com/graphql-go/graphql
VulcanJS,Vulcan,8000,https://github.com/VulcanJS/Vulcan
gridsome,gridsome,8000,https://github.com/gridsome/gridsome
howtographql,howtographql,8000,https://github.com/howtographql/howtographql
