username,repo_name,stars,repo_url
miniMAC,magic,7200,https://github.com/miniMAC/magic
vigetlabs,blendid,5000,https://github.com/vigetlabs/blendid
nieweidong,fetool,4300,https://github.com/nieweidong/fetool
assemble,assemble,4000,https://github.com/assemble/assemble
yeoman,generator-webapp,3800,https://github.com/yeoman/generator-webapp
Tencent,WeFlow,3200,https://github.com/Tencent/WeFlow
EmailThis,extension-boilerplate,2900,https://github.com/EmailThis/extension-boilerplate
MicrosoftDX,Vorlonjs,2900,https://github.com/MicrosoftDX/Vorlonjs
nas5w,100-days-of-code-frontend,2400,https://github.com/nas5w/100-days-of-code-frontend
Tencent,tmt-workflow,2200,https://github.com/Tencent/tmt-workflow
egoist,maid,2000,https://github.com/egoist/maid
summerblue,phphub5,2000,https://github.com/summerblue/phphub5
PatrickJS,NG6-starter,1900,https://github.com/PatrickJS/NG6-starter
nicejade,Front-end-tutorial,1600,https://github.com/nicejade/Front-end-tutorial
ykob,sketch-threejs,1500,https://github.com/ykob/sketch-threejs
luangjokaj,wordpressify,1500,https://github.com/luangjokaj/wordpressify
flatlogic,angular-material-dashboard,1300,https://github.com/flatlogic/angular-material-dashboard
FountainJS,generator-fountain-webapp,979,https://github.com/FountainJS/generator-fountain-webapp
b00giZm,docker-compose-nodejs-examples,970,https://github.com/b00giZm/docker-compose-nodejs-examples
gdg-x,hoverboard,957,https://github.com/gdg-x/hoverboard
Platform-CUF,use-gulp,859,https://github.com/Platform-CUF/use-gulp
cferdinandi,gulp-boilerplate,848,https://github.com/cferdinandi/gulp-boilerplate
nicejade,nice-front-end-tutorial,829,https://github.com/nicejade/nice-front-end-tutorial
tars,tars,796,https://github.com/tars/tars
minamarkham,sassy-starter,754,https://github.com/minamarkham/sassy-starter
logeshpaul,Frontend-Cheat-Sheets,733,https://github.com/logeshpaul/Frontend-Cheat-Sheets
jonschlinkert,gulp-htmlmin,731,https://github.com/jonschlinkert/gulp-htmlmin
ericmdantas,generator-ng-fullstack,701,https://github.com/ericmdantas/generator-ng-fullstack
xsynaptic,wordpress-gulp-starter-kit,674,https://github.com/xsynaptic/wordpress-gulp-starter-kit
jh3y,tyto,665,https://github.com/jh3y/tyto
