username,repo_name,stars,repo_url
twbs,bootstrap,154000,https://github.com/twbs/bootstrap
electron,electron,99200,https://github.com/electron/electron
storybookjs,storybook,66900,https://github.com/storybookjs/storybook
thedaviddias,Front-End-Checklist,57200,https://github.com/thedaviddias/Front-End-Checklist
h5bp,html5-boilerplate,52000,https://github.com/h5bp/html5-boilerplate
rails,rails,49500,https://github.com/rails/rails
jgthms,bulma,44700,https://github.com/jgthms/bulma
prettier,prettier,41300,https://github.com/prettier/prettier
parcel-bundler,parcel,39600,https://github.com/parcel-bundler/parcel
microsoft,Web-Dev-For-Beginners,38500,https://github.com/microsoft/Web-Dev-For-Beginners
vercel,hyper,37400,https://github.com/vercel/hyper
videojs,video.js,32400,https://github.com/videojs/video.js
yangshun,front-end-interview-handbook,32200,https://github.com/yangshun/front-end-interview-handbook
joshbuchea,HEAD,28900,https://github.com/joshbuchea/HEAD
SheetJS,sheetjs,28300,https://github.com/SheetJS/sheetjs
sentsin,layui,25400,https://github.com/sentsin/layui
cheeriojs,cheerio,24600,https://github.com/cheeriojs/cheerio
tabler,tabler,24500,https://github.com/tabler/tabler
pure-css,pure,22100,https://github.com/pure-css/pure
mdbootstrap,mdb-ui-kit,21800,https://github.com/mdbootstrap/mdb-ui-kit
usablica,intro.js,20800,https://github.com/usablica/intro.js
ColorlibHQ,gentelella,20400,https://github.com/ColorlibHQ/gentelella
haizlin,fe-interview,19500,https://github.com/haizlin/fe-interview
qianguyihao,Web,18200,https://github.com/qianguyihao/Web
jsdom,jsdom,16600,https://github.com/jsdom/jsdom
processing,p5.js,16500,https://github.com/processing/p5.js
twbs,ratchet,14500,https://github.com/twbs/ratchet
nhn,tui.editor,14000,https://github.com/nhn/tui.editor
thedaviddias,Front-End-Performance-Checklist,13800,https://github.com/thedaviddias/Front-End-Performance-Checklist
aframevr,aframe,13400,https://github.com/aframevr/aframe
