username,repo_name,stars,repo_url
httpie,httpie,52900,https://github.com/httpie/httpie
psf,requests,46500,https://github.com/psf/requests
caddyserver,caddy,35600,https://github.com/caddyserver/caddy
mitmproxy,mitmproxy,25400,https://github.com/mitmproxy/mitmproxy
aria2,aria2,24900,https://github.com/aria2/aria2
curl,curl,22700,https://github.com/curl/curl
dromara,hutool,21200,https://github.com/dromara/hutool
vapor,vapor,21100,https://github.com/vapor/vapor
ehang-io,nps,19300,https://github.com/ehang-io/nps
tsenart,vegeta,18700,https://github.com/tsenart/vegeta
locustio,locust,17700,https://github.com/locustio/locust
go-kratos,kratos,15600,https://github.com/go-kratos/kratos
gorilla,mux,15500,https://github.com/gorilla/mux
hapijs,hapi,13600,https://github.com/hapijs/hapi
julienschmidt,httprouter,13400,https://github.com/julienschmidt/httprouter
uNetworking,uWebSockets,13400,https://github.com/uNetworking/uWebSockets
trimstray,nginx-admins-handbook,12400,https://github.com/trimstray/nginx-admins-handbook
psf,requests-html,12200,https://github.com/psf/requests-html
aio-libs,aiohttp,11900,https://github.com/aio-libs/aiohttp
snail007,goproxy,11300,https://github.com/snail007/goproxy
http-party,http-server,11200,https://github.com/http-party/http-server
nock,nock,11100,https://github.com/nock/nock
graphile,postgraphile,10900,https://github.com/graphile/postgraphile
sindresorhus,got,10500,https://github.com/sindresorhus/got
go-chi,chi,10500,https://github.com/go-chi/chi
jeasonlzy,okhttp-OkGo,10400,https://github.com/jeasonlzy/okhttp-OkGo
postmanlabs,httpbin,10400,https://github.com/postmanlabs/httpbin
asciimoo,wuzz,9800,https://github.com/asciimoo/wuzz
hyperium,hyper,8800,https://github.com/hyperium/hyper
apache,thrift,8800,https://github.com/apache/thrift
