username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,337000,https://github.com/freeCodeCamp/freeCodeCamp
EbookFoundation,free-programming-books,214000,https://github.com/EbookFoundation/free-programming-books
ohmyzsh,ohmyzsh,137000,https://github.com/ohmyzsh/ohmyzsh
TheAlgorithms,Python,125000,https://github.com/TheAlgorithms/Python
axios,axios,89600,https://github.com/axios/axios
mui-org,material-ui,73400,https://github.com/mui-org/material-ui
iluwatar,java-design-patterns,71600,https://github.com/iluwatar/java-design-patterns
avelino,awesome-go,71600,https://github.com/avelino/awesome-go
gothinkster,realworld,62300,https://github.com/gothinkster/realworld
yangshun,tech-interview-handbook,61800,https://github.com/yangshun/tech-interview-handbook
gohugoio,hugo,55600,https://github.com/gohugoio/hugo
chartjs,Chart.js,55500,https://github.com/chartjs/Chart.js
huggingface,transformers,55000,https://github.com/huggingface/transformers
chrislgarry,Apollo-11,52100,https://github.com/chrislgarry/Apollo-11
ansible,ansible,50900,https://github.com/ansible/ansible
home-assistant,core,47900,https://github.com/home-assistant/core
florinpop17,app-ideas,46400,https://github.com/florinpop17/app-ideas
leonardomso,33-js-concepts,45400,https://github.com/leonardomso/33-js-concepts
grafana,grafana,45200,https://github.com/grafana/grafana
sdmg15,Best-websites-a-programmer-should-visit,44400,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
tesseract-ocr,tesseract,43000,https://github.com/tesseract-ocr/tesseract
meteor,meteor,42700,https://github.com/meteor/meteor
TheAlgorithms,Java,42700,https://github.com/TheAlgorithms/Java
scrapy,scrapy,42300,https://github.com/scrapy/scrapy
strapi,strapi,41400,https://github.com/strapi/strapi
git,git,40300,https://github.com/git/git
prometheus,prometheus,39900,https://github.com/prometheus/prometheus
TryGhost,Ghost,39100,https://github.com/TryGhost/Ghost
microsoft,Web-Dev-For-Beginners,38500,https://github.com/microsoft/Web-Dev-For-Beginners
x64dbg,x64dbg,37700,https://github.com/x64dbg/x64dbg
