username,repo_name,stars,repo_url
koalaman,shellcheck,27000,https://github.com/koalaman/shellcheck
hasura,graphql-engine,24700,https://github.com/hasura/graphql-engine
jgm,pandoc,24100,https://github.com/jgm/pandoc
PostgREST,postgrest,18100,https://github.com/PostgREST/postgrest
compiler-explorer,compiler-explorer,9800,https://github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,9000,https://github.com/hmemcpy/milewski-ctfp-pdf
lk-geimfari,awesomo,8200,https://github.com/lk-geimfari/awesomo
purescript,purescript,7400,https://github.com/purescript/purescript
hadolint,hadolint,6200,https://github.com/hadolint/hadolint
liuxinyu95,AlgoXY,5000,https://github.com/liuxinyu95/AlgoXY
unisonweb,unison,4200,https://github.com/unisonweb/unison
input-output-hk,cardano-sl,3700,https://github.com/input-output-hk/cardano-sl
digitallyinduced,ihp,2700,https://github.com/digitallyinduced/ihp
typelead,eta,2500,https://github.com/typelead/eta
haskell,haskell-ide-engine,2400,https://github.com/haskell/haskell-ide-engine
wireapp,wire-server,2400,https://github.com/wireapp/wire-server
sdiehl,wiwinwlh,2200,https://github.com/sdiehl/wiwinwlh
xmonad,xmonad,2200,https://github.com/xmonad/xmonad
BayesWitnesses,m2cgen,1900,https://github.com/BayesWitnesses/m2cgen
dmjio,miso,1900,https://github.com/dmjio/miso
simonmichael,hledger,1900,https://github.com/simonmichael/hledger
haskell,haskell-language-server,1800,https://github.com/haskell/haskell-language-server
koka-lang,koka,1800,https://github.com/koka-lang/koka
tweag,asterius,1800,https://github.com/tweag/asterius
jaspervdj,patat,1700,https://github.com/jaspervdj/patat
kaxap,arl,1600,https://github.com/kaxap/arl
haskell-servant,servant,1600,https://github.com/haskell-servant/servant
nayuki,Project-Euler-solutions,1500,https://github.com/nayuki/Project-Euler-solutions
netgusto,nodebook,1500,https://github.com/netgusto/nodebook
tidalcycles,Tidal,1500,https://github.com/tidalcycles/Tidal
