username,repo_name,stars,repo_url
Homebrew,brew,30100,https://github.com/Homebrew/brew
github,hub,21400,https://github.com/github/hub
Homebrew,homebrew-cask,18700,https://github.com/Homebrew/homebrew-cask
Homebrew,homebrew-core,10400,https://github.com/Homebrew/homebrew-core
goreleaser,goreleaser,9200,https://github.com/goreleaser/goreleaser
mas-cli,mas,8600,https://github.com/mas-cli/mas
Caldis,Mos,7700,https://github.com/Caldis/Mos
diasurgical,devilutionX,5000,https://github.com/diasurgical/devilutionX
geerlingguy,mac-dev-playbook,4100,https://github.com/geerlingguy/mac-dev-playbook
paulirish,dotfiles,3900,https://github.com/paulirish/dotfiles
Homebrew,homebrew-bundle,3900,https://github.com/Homebrew/homebrew-bundle
mock-server,mockserver,3500,https://github.com/mock-server/mockserver
whalebrew,whalebrew,3300,https://github.com/whalebrew/whalebrew
LumaTeam,Luma3DS,3300,https://github.com/LumaTeam/Luma3DS
cointop-sh,cointop,2900,https://github.com/cointop-sh/cointop
Linuxbrew,brew,2600,https://github.com/Linuxbrew/brew
nicknisi,dotfiles,2200,https://github.com/nicknisi/dotfiles
Homebrew,homebrew-cask-fonts,2200,https://github.com/Homebrew/homebrew-cask-fonts
AtlasNX,Kosmos,2200,https://github.com/AtlasNX/Kosmos
XorTroll,Goldleaf,2000,https://github.com/XorTroll/Goldleaf
MikeMcQuaid,strap,1800,https://github.com/MikeMcQuaid/strap
AdoptOpenJDK,homebrew-openjdk,1800,https://github.com/AdoptOpenJDK/homebrew-openjdk
minamarkham,formation,1700,https://github.com/minamarkham/formation
Homebrew,homebrew-services,1600,https://github.com/Homebrew/homebrew-services
mac-cleanup,mac-cleanup-sh,1500,https://github.com/mac-cleanup/mac-cleanup-sh
Nonchalant,AppIcon,1500,https://github.com/Nonchalant/AppIcon
kerl,kerl,1400,https://github.com/kerl/kerl
driesvints,dotfiles,1400,https://github.com/driesvints/dotfiles
bitwarden,cli,1300,https://github.com/bitwarden/cli
smallhadroncollider,taskell,1300,https://github.com/smallhadroncollider/taskell
