username,repo_name,stars,repo_url
homebridge,homebridge,19000,https://github.com/homebridge/homebridge
oznu,homebridge-config-ui-x,1900,https://github.com/oznu/homebridge-config-ui-x
oznu,docker-homebridge,1800,https://github.com/oznu/docker-homebridge
YinHangCode,homebridge-mi-aqara,1000,https://github.com/YinHangCode/homebridge-mi-aqara
Sunoo,homebridge-camera-ffmpeg,834,https://github.com/Sunoo/homebridge-camera-ffmpeg
homebridge,homebridge-raspbian-image,706,https://github.com/homebridge/homebridge-raspbian-image
hjdhjd,homebridge-unifi-protect,630,https://github.com/hjdhjd/homebridge-unifi-protect
dgreif,ring,608,https://github.com/dgreif/ring
lprhodes,homebridge-broadlink-rm,536,https://github.com/lprhodes/homebridge-broadlink-rm
merdok,homebridge-webos-tv,497,https://github.com/merdok/homebridge-webos-tv
sieren,Homepoint,476,https://github.com/sieren/Homepoint
tavicu,homebridge-samsung-tizen,440,https://github.com/tavicu/homebridge-samsung-tizen
hoobs-org,HOOBS,424,https://github.com/hoobs-org/HOOBS
oznu,homebridge-syno-spk,352,https://github.com/oznu/homebridge-syno-spk
tonesto7,homebridge-smartthings,351,https://github.com/tonesto7/homebridge-smartthings
plasticrake,homebridge-tplink-smarthome,340,https://github.com/plasticrake/homebridge-tplink-smarthome
hjdhjd,homebridge-myq,297,https://github.com/hjdhjd/homebridge-myq
taligentx,dscKeybusInterface,296,https://github.com/taligentx/dscKeybusInterface
oznu,homebridge-gsh,266,https://github.com/oznu/homebridge-gsh
homebridge,verified,266,https://github.com/homebridge/verified
bwp91,homebridge-ewelink,263,https://github.com/bwp91/homebridge-ewelink
LASER-Yi,homebridge-mi-acpartner,259,https://github.com/LASER-Yi/homebridge-mi-acpartner
seydx,homebridge-bravia-tvos,247,https://github.com/seydx/homebridge-bravia-tvos
ParadoxAlarmInterface,pai,216,https://github.com/ParadoxAlarmInterface/pai
hannseman,homebridge-mi-hygrothermograph,215,https://github.com/hannseman/homebridge-mi-hygrothermograph
naofireblade,homebridge-weather-plus,208,https://github.com/naofireblade/homebridge-weather-plus
nxhack,openwrt-node-packages,196,https://github.com/nxhack/openwrt-node-packages
nicoduj,homebridge-harmony,188,https://github.com/nicoduj/homebridge-harmony
sahilchaddha,homebridge-dafang,185,https://github.com/sahilchaddha/homebridge-dafang
bwp91,homebridge-platform-wemo,183,https://github.com/bwp91/homebridge-platform-wemo
