username,repo_name,stars,repo_url
ipfs,ipfs,20000,https://github.com/ipfs/ipfs
ipfs,go-ipfs,12400,https://github.com/ipfs/go-ipfs
orbitdb,orbit-db,6200,https://github.com/orbitdb/orbit-db
ipfs,js-ipfs,6100,https://github.com/ipfs/js-ipfs
berty,berty,5100,https://github.com/berty/berty
ipfs,ipfs-desktop,3600,https://github.com/ipfs/ipfs-desktop
embarklabs,embark,3500,https://github.com/embarklabs/embark
ipfs,awesome-ipfs,3400,https://github.com/ipfs/awesome-ipfs
hoochanlon,fq-book,2400,https://github.com/hoochanlon/fq-book
libp2p,js-libp2p,1700,https://github.com/libp2p/js-libp2p
orbitdb,orbit,1600,https://github.com/orbitdb/orbit
ipfs,ipfs-companion,1500,https://github.com/ipfs/ipfs-companion
yjjnls,awesome-blockchain,1500,https://github.com/yjjnls/awesome-blockchain
graphprotocol,graph-node,1500,https://github.com/graphprotocol/graph-node
TeamPiped,Piped,1500,https://github.com/TeamPiped/Piped
redacademy,vue-ethereum-ipfs,1300,https://github.com/redacademy/vue-ethereum-ipfs
ipfs,ipfs-webui,1200,https://github.com/ipfs/ipfs-webui
ipfspics,ipfspics-server,1100,https://github.com/ipfspics/ipfspics-server
qri-io,qri,1000,https://github.com/qri-io/qri
Peergos,Peergos,981,https://github.com/Peergos/Peergos
OpenBazaar,openbazaar-go,963,https://github.com/OpenBazaar/openbazaar-go
rs-ipfs,rust-ipfs,914,https://github.com/rs-ipfs/rust-ipfs
ipfs-shipyard,ipfs-deploy,896,https://github.com/ipfs-shipyard/ipfs-deploy
FileNation,FileNation,825,https://github.com/FileNation/FileNation
dennis-tra,pcp,804,https://github.com/dennis-tra/pcp
dtube,dtube,677,https://github.com/dtube/dtube
ipfs-search,ipfs-search,629,https://github.com/ipfs-search/ipfs-search
OpenBazaar,openbazaar-desktop,620,https://github.com/OpenBazaar/openbazaar-desktop
peer-base,peer-pad,598,https://github.com/peer-base/peer-pad
icidasset,diffuse,589,https://github.com/icidasset/diffuse
