username,repo_name,stars,repo_url
ryanoasis,nerd-fonts,31400,https://github.com/ryanoasis/nerd-fonts
neutraltone,awesome-stock-resources,10100,https://github.com/neutraltone/awesome-stock-resources
akveo,eva-icons,8100,https://github.com/akveo/eva-icons
mikepenz,Android-Iconics,4900,https://github.com/mikepenz/Android-Iconics
ecomfe,fontmin,4400,https://github.com/ecomfe/fontmin
Remix-Design,RemixIcon,3900,https://github.com/Remix-Design/RemixIcon
refscn,rplibs,2600,https://github.com/refscn/rplibs
keremciu,sketch-iconfont,2000,https://github.com/keremciu/sketch-iconfont
coreui,coreui-icons,1800,https://github.com/coreui/coreui-icons
atisawd,boxicons,1600,https://github.com/atisawd/boxicons
home-assistant,Iconic,1600,https://github.com/home-assistant/Iconic
dongjunkun,GanK,1200,https://github.com/dongjunkun/GanK
ForkAwesome,Fork-Awesome,982,https://github.com/ForkAwesome/Fork-Awesome
phosphor-icons,phosphor-home,972,https://github.com/phosphor-icons/phosphor-home
leungwensen,svg-icon,924,https://github.com/leungwensen/svg-icon
brabadu,awesome-fonts,888,https://github.com/brabadu/awesome-fonts
vkarampinis,awesome-icons,868,https://github.com/vkarampinis/awesome-icons
pfefferle,openwebicons,843,https://github.com/pfefferle/openwebicons
jpswalsh,academicons,605,https://github.com/jpswalsh/academicons
juliettef,IconFontCppHeaders,602,https://github.com/juliettef/IconFontCppHeaders
kenangundogan,fontisto,453,https://github.com/kenangundogan/fontisto
thomaspark,glyphsearch,452,https://github.com/thomaspark/glyphsearch
lvwzhen,iconpark,355,https://github.com/lvwzhen/iconpark
victor-valencia,bootstrap-iconpicker,354,https://github.com/victor-valencia/bootstrap-iconpicker
PrestaShop,prestashop-icon-font,314,https://github.com/PrestaShop/prestashop-icon-font
andrewgioia,keyrune,307,https://github.com/andrewgioia/keyrune
lukas-w,font-logos,300,https://github.com/lukas-w/font-logos
ccforward,rubik,277,https://github.com/ccforward/rubik
pluwen,awesome-iconjar,207,https://github.com/pluwen/awesome-iconjar
XiangWuShuo,EFIconFont,202,https://github.com/XiangWuShuo/EFIconFont
