username,repo_name,stars,repo_url
httpie,httpie,52900,https://github.com/httpie/httpie
iptv-org,iptv,42800,https://github.com/iptv-org/iptv
prettier,prettier,41300,https://github.com/prettier/prettier
tiangolo,fastapi,39000,https://github.com/tiangolo/fastapi
chinese-poetry,chinese-poetry,34800,https://github.com/chinese-poetry/chinese-poetry
SheetJS,sheetjs,28300,https://github.com/SheetJS/sheetjs
nlohmann,json,27600,https://github.com/nlohmann/json
alibaba,fastjson,24000,https://github.com/alibaba/fastjson
dromara,hutool,21200,https://github.com/dromara/hutool
SwiftyJSON,SwiftyJSON,21000,https://github.com/SwiftyJSON/SwiftyJSON
paularmstrong,normalizr,20700,https://github.com/paularmstrong/normalizr
codex-team,editor.js,17000,https://github.com/codex-team/editor.js
urfave,cli,16900,https://github.com/urfave/cli
typicode,lowdb,16800,https://github.com/typicode/lowdb
simdjson,simdjson,15100,https://github.com/simdjson/simdjson
modood,Administrative-divisions-of-China,11600,https://github.com/modood/Administrative-divisions-of-China
Mantle,Mantle,11300,https://github.com/Mantle/Mantle
antonmedv,fx,11300,https://github.com/antonmedv/fx
rjsf-team,react-jsonschema-form,10800,https://github.com/rjsf-team/react-jsonschema-form
postmanlabs,httpbin,10400,https://github.com/postmanlabs/httpbin
json-iterator,go,10200,https://github.com/json-iterator/go
tidwall,gjson,9400,https://github.com/tidwall/gjson
JamesNK,Newtonsoft.Json,9000,https://github.com/JamesNK/Newtonsoft.Json
baidu,amis,8700,https://github.com/baidu/amis
CoderMJLee,MJExtension,8500,https://github.com/CoderMJLee/MJExtension
pinojs,pino,8400,https://github.com/pinojs/pino
httpie,http-prompt,8300,https://github.com/httpie/http-prompt
pwxcoo,chinese-xinhua,8300,https://github.com/pwxcoo/chinese-xinhua
astrit,css.gg,8000,https://github.com/astrit/css.gg
jwtk,jjwt,7900,https://github.com/jwtk/jjwt
