username,repo_name,stars,repo_url
CyC2018,CS-Notes,143000,https://github.com/CyC2018/CS-Notes
Snailclimb,JavaGuide,114000,https://github.com/Snailclimb/JavaGuide
iluwatar,java-design-patterns,71600,https://github.com/iluwatar/java-design-patterns
doocs,advanced-java,58800,https://github.com/doocs/advanced-java
spring-projects,spring-boot,58500,https://github.com/spring-projects/spring-boot
elastic,elasticsearch,57500,https://github.com/elastic/elasticsearch
kdn251,interviews,54700,https://github.com/kdn251/interviews
macrozheng,mall,54500,https://github.com/macrozheng/mall
ReactiveX,RxJava,45500,https://github.com/ReactiveX/RxJava
azl397985856,leetcode,45400,https://github.com/azl397985856/leetcode
google,guava,43000,https://github.com/google/guava
TheAlgorithms,Java,42700,https://github.com/TheAlgorithms/Java
square,okhttp,41200,https://github.com/square/okhttp
square,retrofit,39100,https://github.com/square/retrofit
PhilJay,MPAndroidChart,34300,https://github.com/PhilJay/MPAndroidChart
apache,spark,31500,https://github.com/apache/spark
zxing,zxing,28700,https://github.com/zxing/zxing
AobingJava,JavaFamily,28500,https://github.com/AobingJava/JavaFamily
skylot,jadx,28000,https://github.com/skylot/jadx
alibaba,arthas,27800,https://github.com/alibaba/arthas
square,leakcanary,27000,https://github.com/square/leakcanary
ityouknow,spring-boot-examples,26700,https://github.com/ityouknow/spring-boot-examples
crossoverJie,JCSprout,26500,https://github.com/crossoverJie/JCSprout
jeecgboot,jeecg-boot,26200,https://github.com/jeecgboot/jeecg-boot
Wechat-Group,WxJava,24400,https://github.com/Wechat-Group/WxJava
xkcoding,spring-boot-demo,24200,https://github.com/xkcoding/spring-boot-demo
alibaba,fastjson,24000,https://github.com/alibaba/fastjson
dbeaver,dbeaver,23500,https://github.com/dbeaver/dbeaver
SeleniumHQ,selenium,22300,https://github.com/SeleniumHQ/selenium
alibaba,easyexcel,22000,https://github.com/alibaba/easyexcel
