username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,337000,https://github.com/freeCodeCamp/freeCodeCamp
vuejs,vue,191000,https://github.com/vuejs/vue
facebook,react,179000,https://github.com/facebook/react
twbs,bootstrap,154000,https://github.com/twbs/bootstrap
getify,You-Dont-Know-JS,147000,https://github.com/getify/You-Dont-Know-JS
trekhleb,javascript-algorithms,127000,https://github.com/trekhleb/javascript-algorithms
airbnb,javascript,117000,https://github.com/airbnb/javascript
electron,electron,99200,https://github.com/electron/electron
axios,axios,89600,https://github.com/axios/axios
30-seconds,30-seconds-of-code,88800,https://github.com/30-seconds/30-seconds-of-code
justjavac,free-programming-books-zh_CN,84700,https://github.com/justjavac/free-programming-books-zh_CN
nodejs,node,83400,https://github.com/nodejs/node
denoland,deno,79100,https://github.com/denoland/deno
angular,angular,78000,https://github.com/angular/angular
mrdoob,three.js,76500,https://github.com/mrdoob/three.js
microsoft,TypeScript,76300,https://github.com/microsoft/TypeScript
mui-org,material-ui,73400,https://github.com/mui-org/material-ui
goldbergyoni,nodebestpractices,72500,https://github.com/goldbergyoni/nodebestpractices
storybookjs,storybook,66900,https://github.com/storybookjs/storybook
ryanmcdermott,clean-code-javascript,60600,https://github.com/ryanmcdermott/clean-code-javascript
webpack,webpack,59900,https://github.com/webpack/webpack
practical-tutorials,project-based-learning,59700,https://github.com/practical-tutorials/project-based-learning
thedaviddias,Front-End-Checklist,57200,https://github.com/thedaviddias/Front-End-Checklist
atom,atom,56400,https://github.com/atom/atom
chartjs,Chart.js,55500,https://github.com/chartjs/Chart.js
expressjs,express,55100,https://github.com/expressjs/express
h5bp,html5-boilerplate,52000,https://github.com/h5bp/html5-boilerplate
lodash,lodash,51500,https://github.com/lodash/lodash
ElemeFE,element,51300,https://github.com/ElemeFE/element
ionic-team,ionic-framework,45700,https://github.com/ionic-team/ionic-framework
