username,repo_name,stars,repo_url
jekyll,jekyll,43800,https://github.com/jekyll/jekyll
tabler,tabler,24500,https://github.com/tabler/tabler
mmistakes,minimal-mistakes,8900,https://github.com/mmistakes/minimal-mistakes
primer,octicons,7000,https://github.com/primer/octicons
mqtt,mqtt.org,4800,https://github.com/mqtt/mqtt.org
daattali,beautiful-jekyll,3700,https://github.com/daattali/beautiful-jekyll
pmarsceill,just-the-docs,3700,https://github.com/pmarsceill/just-the-docs
poole,hyde,3200,https://github.com/poole/hyde
poole,lanyon,2900,https://github.com/poole/lanyon
fastai,fastpages,2900,https://github.com/fastai/fastpages
poole,poole,2700,https://github.com/poole/poole
github,choosealicense.com,2600,https://github.com/github/choosealicense.com
jekyll,jekyll-admin,2500,https://github.com/jekyll/jekyll-admin
jekyll,minima,2400,https://github.com/jekyll/minima
home-assistant,home-assistant.io,2300,https://github.com/home-assistant/home-assistant.io
alshedivat,al-folio,2300,https://github.com/alshedivat/al-folio
sergiokopplin,indigo,2200,https://github.com/sergiokopplin/indigo
kitian616,jekyll-TeXt-theme,2100,https://github.com/kitian616/jekyll-TeXt-theme
TaylanTatli,Moon,2100,https://github.com/TaylanTatli/Moon
eduardoboucas,staticman,2100,https://github.com/eduardoboucas/staticman
maxvoltar,photo-stream,1800,https://github.com/maxvoltar/photo-stream
Gaohaoyang,gaohaoyang.github.io,1700,https://github.com/Gaohaoyang/gaohaoyang.github.io
mmistakes,so-simple-theme,1700,https://github.com/mmistakes/so-simple-theme
github,pages-gem,1700,https://github.com/github/pages-gem
jglovier,gifs,1600,https://github.com/jglovier/gifs
jglovier,resume-template,1300,https://github.com/jglovier/resume-template
jekyll,jekyll-seo-tag,1300,https://github.com/jekyll/jekyll-seo-tag
dtinth,comic-mono-font,1200,https://github.com/dtinth/comic-mono-font
christian-fei,Simple-Jekyll-Search,1200,https://github.com/christian-fei/Simple-Jekyll-Search
jeromelachaud,freelancer-theme,1200,https://github.com/jeromelachaud/freelancer-theme
