username,repo_name,stars,repo_url
jakevdp,PythonDataScienceHandbook,31900,https://github.com/jakevdp/PythonDataScienceHandbook
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,23900,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
ageron,handson-ml,23700,https://github.com/ageron/handson-ml
trekhleb,homemade-machine-learning,18600,https://github.com/trekhleb/homemade-machine-learning
MLEveryday,100-Days-Of-ML-Code,16700,https://github.com/MLEveryday/100-Days-Of-ML-Code
emilwallner,Screenshot-to-code,13500,https://github.com/emilwallner/Screenshot-to-code
microsoft,recommenders,11700,https://github.com/microsoft/recommenders
hangtwenty,dive-into-machine-learning,10800,https://github.com/hangtwenty/dive-into-machine-learning
plotly,plotly.py,10600,https://github.com/plotly/plotly.py
chenyuntc,pytorch-book,9500,https://github.com/chenyuntc/pytorch-book
dunovank,jupyter-themes,8900,https://github.com/dunovank/jupyter-themes
jupyter,notebook,8700,https://github.com/jupyter/notebook
pandas-profiling,pandas-profiling,8300,https://github.com/pandas-profiling/pandas-profiling
microsoft,computervision-recipes,8200,https://github.com/microsoft/computervision-recipes
marceloprates,prettymaps,7400,https://github.com/marceloprates/prettymaps
jupyterhub,jupyterhub,6500,https://github.com/jupyterhub/jupyterhub
jupyter,docker-stacks,6400,https://github.com/jupyter/docker-stacks
aws,amazon-sagemaker-examples,6300,https://github.com/aws/amazon-sagemaker-examples
firmai,industry-machine-learning,6100,https://github.com/firmai/industry-machine-learning
nteract,nteract,5700,https://github.com/nteract/nteract
Atcold,pytorch-Deep-Learning,5500,https://github.com/Atcold/pytorch-Deep-Learning
mwouts,jupytext,5000,https://github.com/mwouts/jupytext
jerry-git,learn-python3,4400,https://github.com/jerry-git/learn-python3
tensorflow,lucid,4300,https://github.com/tensorflow/lucid
BrambleXu,pydata-notebook,4300,https://github.com/BrambleXu/pydata-notebook
codebasics,py,4100,https://github.com/codebasics/py
IntelLabs,distiller,3700,https://github.com/IntelLabs/distiller
TrickyGo,Dive-into-DL-TensorFlow2.0,3400,https://github.com/TrickyGo/Dive-into-DL-TensorFlow2.0
justmarkham,scikit-learn-videos,3200,https://github.com/justmarkham/scikit-learn-videos
microsoft,tensorwatch,3200,https://github.com/microsoft/tensorwatch
