username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,84700,https://github.com/justjavac/free-programming-books-zh_CN
square,okhttp,41200,https://github.com/square/okhttp
JetBrains,kotlin,39500,https://github.com/JetBrains/kotlin
square,leakcanary,27000,https://github.com/square/leakcanary
google,iosched,21000,https://github.com/google/iosched
tipsy,profile-summary-for-github,19500,https://github.com/tipsy/profile-summary-for-github
afollestad,material-dialogs,19100,https://github.com/afollestad/material-dialogs
Kotlin,anko,16000,https://github.com/Kotlin/anko
Tencent,MMKV,13900,https://github.com/Tencent/MMKV
tachiyomiorg,tachiyomi,13700,https://github.com/tachiyomiorg/tachiyomi
wasabeef,recyclerview-animators,10900,https://github.com/wasabeef/recyclerview-animators
permissions-dispatcher,PermissionsDispatcher,10800,https://github.com/permissions-dispatcher/PermissionsDispatcher
Kotlin,kotlinx.coroutines,10100,https://github.com/Kotlin/kotlinx.coroutines
gyf-dev,ImmersionBar,10000,https://github.com/gyf-dev/ImmersionBar
KotlinBy,awesome-kotlin,9700,https://github.com/KotlinBy/awesome-kotlin
wasabeef,glide-transformations,9500,https://github.com/wasabeef/glide-transformations
ktorio,ktor,9100,https://github.com/ktorio/ktor
mamoe,mirai,7900,https://github.com/mamoe/mirai
square,okio,7800,https://github.com/square/okio
android,android-ktx,7600,https://github.com/android/android-ktx
coil-kt,coil,7400,https://github.com/coil-kt/coil
quicktype,quicktype,7400,https://github.com/quicktype/quicktype
InsertKoinIO,koin,7100,https://github.com/InsertKoinIO/koin
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
JetBrains,compose-jb,7000,https://github.com/JetBrains/compose-jb
google,android-classyshark,6900,https://github.com/google/android-classyshark
ReactiveX,RxKotlin,6800,https://github.com/ReactiveX/RxKotlin
sourcerer-io,sourcerer-app,6600,https://github.com/sourcerer-io/sourcerer-app
zetbaitsu,Compressor,6200,https://github.com/zetbaitsu/Compressor
JetBrains,ideavim,6100,https://github.com/JetBrains/ideavim
