username,repo_name,stars,repo_url
kubernetes,kubernetes,83200,https://github.com/kubernetes/kubernetes
netdata,netdata,56900,https://github.com/netdata/netdata
etcd-io,etcd,38100,https://github.com/etcd-io/etcd
traefik,traefik,35900,https://github.com/traefik/traefik
Kong,kong,30700,https://github.com/Kong/kong
istio,istio,28800,https://github.com/istio/istio
LeCoupa,awesome-cheatsheets,25800,https://github.com/LeCoupa/awesome-cheatsheets
hashicorp,consul,23600,https://github.com/hashicorp/consul
kubernetes,minikube,22600,https://github.com/kubernetes/minikube
dokku,dokku,22100,https://github.com/dokku/dokku
openfaas,faas,20700,https://github.com/openfaas/faas
helm,helm,20700,https://github.com/helm/helm
alibaba,nacos,20500,https://github.com/alibaba/nacos
portainer,portainer,20300,https://github.com/portainer/portainer
yeasy,docker_practice,19700,https://github.com/yeasy/docker_practice
bregman-arie,devops-exercises,19600,https://github.com/bregman-arie/devops-exercises
jhipster,generator-jhipster,19100,https://github.com/jhipster/generator-jhipster
k3s-io,k3s,18500,https://github.com/k3s-io/k3s
rancher,rancher,18100,https://github.com/rancher/rancher
lensapp,lens,16400,https://github.com/lensapp/lens
dapr,dapr,15900,https://github.com/dapr/dapr
helm,charts,15300,https://github.com/helm/charts
derailed,k9s,14400,https://github.com/derailed/k9s
kubernetes,kops,13600,https://github.com/kubernetes/kops
chrislusf,seaweedfs,13300,https://github.com/chrislusf/seaweedfs
vitessio,vitess,13000,https://github.com/vitessio/vitess
verdaccio,verdaccio,12600,https://github.com/verdaccio/verdaccio
eip-work,kuboard-press,12500,https://github.com/eip-work/kuboard-press
ramitsurana,awesome-kubernetes,12300,https://github.com/ramitsurana/awesome-kubernetes
GoogleContainerTools,skaffold,12200,https://github.com/GoogleContainerTools/skaffold
