username,repo_name,stars,repo_url
marktext,marktext,21900,https://github.com/marktext/marktext
posquit0,Awesome-CV,14800,https://github.com/posquit0/Awesome-CV
KaTeX,KaTeX,14600,https://github.com/KaTeX/KaTeX
HarisIqbal88,PlotNeuralNet,14200,https://github.com/HarisIqbal88/PlotNeuralNet
hmemcpy,milewski-ctfp-pdf,9000,https://github.com/hmemcpy/milewski-ctfp-pdf
mathjax,MathJax,8500,https://github.com/mathjax/MathJax
billryan,resume,4900,https://github.com/billryan/resume
Wandmalfarbe,pandoc-latex-template,3700,https://github.com/Wandmalfarbe/pandoc-latex-template
lervag,vimtex,3600,https://github.com/lervag/vimtex
tuna,thuthesis,3300,https://github.com/tuna/thuthesis
Wookai,paper-tips-and-tricks,3100,https://github.com/Wookai/paper-tips-and-tricks
luong-komorebi,Begin-Latex-in-minutes,3100,https://github.com/luong-komorebi/Begin-Latex-in-minutes
garrettj403,SciencePlots,2900,https://github.com/garrettj403/SciencePlots
rstudio,bookdown,2800,https://github.com/rstudio/bookdown
google-research,arxiv-latex-cleaner,2700,https://github.com/google-research/arxiv-latex-cleaner
sb2nov,resume,2600,https://github.com/sb2nov/resume
IceEnd,Yosoro,2600,https://github.com/IceEnd/Yosoro
JabRef,jabref,2400,https://github.com/JabRef/jabref
sjtug,SJTUThesis,2400,https://github.com/sjtug/SJTUThesis
retorquere,zotero-better-bibtex,2300,https://github.com/retorquere/zotero-better-bibtex
saadq,resumake.io,2300,https://github.com/saadq/resumake.io
vincentdoerig,latex-css,2200,https://github.com/vincentdoerig/latex-css
noraj,OSCP-Exam-Report-Template-Markdown,2000,https://github.com/noraj/OSCP-Exam-Report-Template-Markdown
susam,texme,2000,https://github.com/susam/texme
Hedgehog-Computing,hedgehog-lab,1800,https://github.com/Hedgehog-Computing/hedgehog-lab
varkor,quiver,1800,https://github.com/varkor/quiver
dyweb,awesome-resume-for-chinese,1700,https://github.com/dyweb/awesome-resume-for-chinese
SwiftLaTeX,SwiftLaTeX,1700,https://github.com/SwiftLaTeX/SwiftLaTeX
nschloe,tikzplotlib,1700,https://github.com/nschloe/tikzplotlib
yishn,tikzcd-editor,1600,https://github.com/yishn/tikzcd-editor
