username,repo_name,stars,repo_url
laravel,laravel,67500,https://github.com/laravel/laravel
laravel,framework,25600,https://github.com/laravel/framework
kataras,iris,21500,https://github.com/kataras/iris
monicahq,monica,15500,https://github.com/monicahq/monica
barryvdh,laravel-debugbar,13400,https://github.com/barryvdh/laravel-debugbar
koel,koel,13000,https://github.com/koel/koel
CachetHQ,Cachet,12500,https://github.com/CachetHQ/Cachet
Intervention,image,12300,https://github.com/Intervention/image
flarum,flarum,12100,https://github.com/flarum/flarum
barryvdh,laravel-ide-helper,11800,https://github.com/barryvdh/laravel-ide-helper
roots,sage,11500,https://github.com/roots/sage
the-control-group,voyager,10800,https://github.com/the-control-group/voyager
octobercms,october,10700,https://github.com/octobercms/october
chiraggude,awesome-laravel,10600,https://github.com/chiraggude/awesome-laravel
SpartnerNL,Laravel-Excel,10400,https://github.com/SpartnerNL/Laravel-Excel
tymondesigns,jwt-auth,10300,https://github.com/tymondesigns/jwt-auth
spatie,laravel-permission,10000,https://github.com/spatie/laravel-permission
guyueyingmu,avbook,8100,https://github.com/guyueyingmu/avbook
BookStackApp,BookStack,7600,https://github.com/BookStackApp/BookStack
laravel,lumen,7400,https://github.com/laravel/lumen
alexeymezenin,laravel-best-practices,7000,https://github.com/alexeymezenin/laravel-best-practices
laravel,tinker,6900,https://github.com/laravel/tinker
Laravel-Lang,lang,6300,https://github.com/Laravel-Lang/lang
invoiceninja,invoiceninja,6200,https://github.com/invoiceninja/invoiceninja
jenssegers,laravel-mongodb,5800,https://github.com/jenssegers/laravel-mongodb
ecrmnn,collect.js,5400,https://github.com/ecrmnn/collect.js
flarum,core,5400,https://github.com/flarum/core
rappasoft,laravel-boilerplate,5200,https://github.com/rappasoft/laravel-boilerplate
aimeos,aimeos-laravel,5200,https://github.com/aimeos/aimeos-laravel
laravel,socialite,5000,https://github.com/laravel/socialite
