username,repo_name,stars,repo_url
facebook,react,179000,https://github.com/facebook/react
curl,curl,22700,https://github.com/curl/curl
ccxt,ccxt,22300,https://github.com/ccxt/ccxt
mojs,mojs,17200,https://github.com/mojs/mojs
framework7io,framework7,16500,https://github.com/framework7io/framework7
OpenGenus,cosmos,12900,https://github.com/OpenGenus/cosmos
Ramotion,animated-tab-bar,10900,https://github.com/Ramotion/animated-tab-bar
dgraph-io,badger,10100,https://github.com/dgraph-io/badger
Ramotion,folding-cell,10000,https://github.com/Ramotion/folding-cell
WenchaoD,FSCalendar,9800,https://github.com/WenchaoD/FSCalendar
cdnjs,cdnjs,9300,https://github.com/cdnjs/cdnjs
apache,thrift,8800,https://github.com/apache/thrift
roughike,BottomBar,8500,https://github.com/roughike/BottomBar
libgit2,libgit2,8200,https://github.com/libgit2/libgit2
felangel,bloc,8100,https://github.com/felangel/bloc
XXApple,AndroidLibs,7100,https://github.com/XXApple/AndroidLibs
sbstjn,timesheet.js,6900,https://github.com/sbstjn/timesheet.js
needim,noty,6700,https://github.com/needim/noty
FreeRDP,FreeRDP,5800,https://github.com/FreeRDP/FreeRDP
LonamiWebs,Telethon,5700,https://github.com/LonamiWebs/Telethon
Devlight,InfiniteCycleViewPager,5700,https://github.com/Devlight/InfiniteCycleViewPager
patrickmn,go-cache,5600,https://github.com/patrickmn/go-cache
IntelRealSense,librealsense,5600,https://github.com/IntelRealSense/librealsense
gruns,icecream,5600,https://github.com/gruns/icecream
lpereira,lwan,5500,https://github.com/lpereira/lwan
Ramotion,expanding-collection,5500,https://github.com/Ramotion/expanding-collection
lusaxweb,vuesax,5300,https://github.com/lusaxweb/vuesax
KrauseFx,TSMessages,4900,https://github.com/KrauseFx/TSMessages
Devlight,NavigationTabBar,4900,https://github.com/Devlight/NavigationTabBar
Ramotion,folding-cell-android,4900,https://github.com/Ramotion/folding-cell-android
