username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,100000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,83400,https://github.com/nodejs/node
atom,atom,56400,https://github.com/atom/atom
trimstray,the-book-of-secret-knowledge,54500,https://github.com/trimstray/the-book-of-secret-knowledge
vercel,hyper,37400,https://github.com/vercel/hyper
alacritty,alacritty,35900,https://github.com/alacritty/alacritty
GitSquared,edex-ui,34700,https://github.com/GitSquared/edex-ui
FiloSottile,mkcert,32800,https://github.com/FiloSottile/mkcert
PowerShell,PowerShell,31100,https://github.com/PowerShell/PowerShell
nativefier,nativefier,29200,https://github.com/nativefier/nativefier
agalwood,Motrix,29100,https://github.com/agalwood/Motrix
ventoy,Ventoy,28900,https://github.com/ventoy/Ventoy
sherlock-project,sherlock,28400,https://github.com/sherlock-project/sherlock
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
0xAX,linux-insides,23900,https://github.com/0xAX/linux-insides
marktext,marktext,21900,https://github.com/marktext/marktext
matteocrippa,awesome-swift,21400,https://github.com/matteocrippa/awesome-swift
yeasy,docker_practice,19700,https://github.com/yeasy/docker_practice
bregman-arie,devops-exercises,19600,https://github.com/bregman-arie/devops-exercises
libgdx,libgdx,19400,https://github.com/libgdx/libgdx
notable,notable,18800,https://github.com/notable/notable
BoostIO,BoostNote-Legacy,17400,https://github.com/BoostIO/BoostNote-Legacy
jaywcjlove,linux-command,17400,https://github.com/jaywcjlove/linux-command
Swordfish90,cool-retro-term,15500,https://github.com/Swordfish90/cool-retro-term
geeeeeeeeek,electronic-wechat,13900,https://github.com/geeeeeeeeek/electronic-wechat
kivy,kivy,13700,https://github.com/kivy/kivy
xbmc,xbmc,13100,https://github.com/xbmc/xbmc
qier222,YesPlayMusic,12700,https://github.com/qier222/YesPlayMusic
txthinking,brook,12700,https://github.com/txthinking/brook
jessfraz,dockerfiles,12200,https://github.com/jessfraz/dockerfiles
