username,repo_name,stars,repo_url
AtsushiSakai,PythonRobotics,13800,https://github.com/AtsushiSakai/PythonRobotics
formatjs,formatjs,12800,https://github.com/formatjs/formatjs
frappe,erpnext,10100,https://github.com/frappe/erpnext
SwiftGen,SwiftGen,7600,https://github.com/SwiftGen/SwiftGen
Humanizr,Humanizer,6400,https://github.com/Humanizr/Humanizer
cartographer-project,cartographer,5700,https://github.com/cartographer-project/cartographer
lingui,js-lingui,3200,https://github.com/lingui/js-lingui
jeremykenedy,laravel-auth,2700,https://github.com/jeremykenedy/laravel-auth
WeblateOrg,weblate,2700,https://github.com/WeblateOrg/weblate
github,time-elements,2300,https://github.com/github/time-elements
introlab,rtabmap,1600,https://github.com/introlab/rtabmap
ever-co,ever-traduora,1600,https://github.com/ever-co/ever-traduora
vinissimus,next-translate,1300,https://github.com/vinissimus/next-translate
willpowell8,LocalizationKit_iOS,1200,https://github.com/willpowell8/LocalizationKit_iOS
overtrue,laravel-lang,1200,https://github.com/overtrue/laravel-lang
igorkulman,iOSLocalizationEditor,1200,https://github.com/igorkulman/iOSLocalizationEditor
Flinesoft,BartyCrouch,1100,https://github.com/Flinesoft/BartyCrouch
mozilla,pontoon,1100,https://github.com/mozilla/pontoon
vovgou,loxodon-framework,1000,https://github.com/vovgou/loxodon-framework
parrot-translate,parrot,965,https://github.com/parrot-translate/parrot
projectfluent,fluent,941,https://github.com/projectfluent/fluent
MIT-SPARK,Kimera-VIO,906,https://github.com/MIT-SPARK/Kimera-VIO
onlytailei,CppRobotics,887,https://github.com/onlytailei/CppRobotics
koala-interactive,frenchkiss.js,780,https://github.com/koala-interactive/frenchkiss.js
axuno,SmartFormat,773,https://github.com/axuno/SmartFormat
shioyama,mobility,734,https://github.com/shioyama/mobility
projectfluent,fluent.js,694,https://github.com/projectfluent/fluent.js
ivanhofer,typesafe-i18n,678,https://github.com/ivanhofer/typesafe-i18n
translate,translate,647,https://github.com/translate/translate
workalendar,workalendar,635,https://github.com/workalendar/workalendar
