username,repo_name,stars,repo_url
neovim,neovim,49000,https://github.com/neovim/neovim
coolsnowwolf,lede,18800,https://github.com/coolsnowwolf/lede
cocos2d,cocos2d-x,15700,https://github.com/cocos2d/cocos2d-x
lionsoul2014,ip2region,9800,https://github.com/lionsoul2014/ip2region
spotify,annoy,9200,https://github.com/spotify/annoy
codota,TabNine,8800,https://github.com/codota/TabNine
Hammerspoon,hammerspoon,8400,https://github.com/Hammerspoon/hammerspoon
lk-geimfari,awesomo,8200,https://github.com/lk-geimfari/awesomo
apache,apisix,7800,https://github.com/apache/apisix
NvChad,NvChad,7300,https://github.com/NvChad/NvChad
Tencent,xLua,7200,https://github.com/Tencent/xLua
nodemcu,nodemcu-firmware,6900,https://github.com/nodemcu/nodemcu-firmware
LunarVim,LunarVim,6500,https://github.com/LunarVim/LunarVim
minetest,minetest,6400,https://github.com/minetest/minetest
nmap,nmap,5700,https://github.com/nmap/nmap
brndnmtthws,conky,5100,https://github.com/brndnmtthws/conky
yuin,gopher-lua,4400,https://github.com/yuin/gopher-lua
awesomeWM,awesome,4300,https://github.com/awesomeWM/awesome
akopytov,sysbench,4200,https://github.com/akopytov/sysbench
nvim-telescope,telescope.nvim,4200,https://github.com/nvim-telescope/telescope.nvim
xmake-io,xmake,4100,https://github.com/xmake-io/xmake
cuberite,cuberite,4000,https://github.com/cuberite/cuberite
urho3d,Urho3D,3700,https://github.com/urho3d/Urho3D
martanne,vis,3700,https://github.com/martanne/vis
alibaba,LuaViewSDK,3600,https://github.com/alibaba/LuaViewSDK
luvit,luvit,3400,https://github.com/luvit/luvit
turanszkij,WickedEngine,3100,https://github.com/turanszkij/WickedEngine
a327ex,blog,3100,https://github.com/a327ex/blog
fcambus,nginx-resources,3000,https://github.com/fcambus/nginx-resources
TarrySingh,Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,3000,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials
