username,repo_name,stars,repo_url
PRML,PRMLT,5300,https://github.com/PRML/PRMLT
ZheC,Realtime_Multi-Person_Pose_Estimation,4800,https://github.com/ZheC/Realtime_Multi-Person_Pose_Estimation
zhanwen,MathModel,3800,https://github.com/zhanwen/MathModel
flybywiresim,a32nx,3800,https://github.com/flybywiresim/a32nx
Chakazul,Lenia,2800,https://github.com/Chakazul/Lenia
19PDP,Bilibili-plus,1800,https://github.com/19PDP/Bilibili-plus
kaxap,arl,1600,https://github.com/kaxap/arl
HuangCongQing,Algorithms_MathModels,1200,https://github.com/HuangCongQing/Algorithms_MathModels
matlab2tikz,matlab2tikz,1200,https://github.com/matlab2tikz/matlab2tikz
bytefish,facerec,932,https://github.com/bytefish/facerec
casadi,casadi,867,https://github.com/casadi/casadi
analyticalmonk,awesome-neuroscience,839,https://github.com/analyticalmonk/awesome-neuroscience
pptacher,probabilistic_robotics,834,https://github.com/pptacher/probabilistic_robotics
scottclowe,matlab-schemer,822,https://github.com/scottclowe/matlab-schemer
JalaliLabUCLA,Image-feature-detection-using-Phase-Stretch-Transform,818,https://github.com/JalaliLabUCLA/Image-feature-detection-using-Phase-Stretch-Transform
petercorke,robotics-toolbox-matlab,740,https://github.com/petercorke/robotics-toolbox-matlab
trekhleb,machine-learning-octave,700,https://github.com/trekhleb/machine-learning-octave
andrewssobral,lrslibrary,667,https://github.com/andrewssobral/lrslibrary
BIMK,PlatEMO,618,https://github.com/BIMK/PlatEMO
piermorel,gramm,602,https://github.com/piermorel/gramm
fieldtrip,fieldtrip,569,https://github.com/fieldtrip/fieldtrip
oneTaken,awesome_deep_learning_interpretability,521,https://github.com/oneTaken/awesome_deep_learning_interpretability
DrTimothyAldenDavis,SuiteSparse,501,https://github.com/DrTimothyAldenDavis/SuiteSparse
benfulcher,hctsa,476,https://github.com/benfulcher/hctsa
JSBSim-Team,jsbsim,462,https://github.com/JSBSim-Team/jsbsim
MinZHANG-WHU,Change-Detection-Review,433,https://github.com/MinZHANG-WHU/Change-Detection-Review
GuoShi28,CBDNet,406,https://github.com/GuoShi28/CBDNet
AtsushiSakai,MATLABRobotics,400,https://github.com/AtsushiSakai/MATLABRobotics
conradsnicta,armadillo-code,397,https://github.com/conradsnicta/armadillo-code
votchallenge,toolkit-legacy,365,https://github.com/votchallenge/toolkit-legacy
