username,repo_name,stars,repo_url
tensorflow,tensorflow,161000,https://github.com/tensorflow/tensorflow
keras-team,keras,53300,https://github.com/keras-team/keras
pytorch,pytorch,52500,https://github.com/pytorch/pytorch
scikit-learn,scikit-learn,48100,https://github.com/scikit-learn/scikit-learn
tesseract-ocr,tesseract,43000,https://github.com/tesseract-ocr/tesseract
ageitgey,face_recognition,42400,https://github.com/ageitgey/face_recognition
aymericdamien,TensorFlow-Examples,41400,https://github.com/aymericdamien/TensorFlow-Examples
deepfakes,faceswap,39700,https://github.com/deepfakes/faceswap
JuliaLang,julia,37300,https://github.com/JuliaLang/julia
binhnguyennus,awesome-scalability,36600,https://github.com/binhnguyennus/awesome-scalability
Avik-Jain,100-Days-Of-ML-Code,33500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
BVLC,caffe,32100,https://github.com/BVLC/caffe
GokuMohandas,MadeWithML,29200,https://github.com/GokuMohandas/MadeWithML
d2l-ai,d2l-zh,28400,https://github.com/d2l-ai/d2l-zh
microsoft,ML-For-Beginners,27700,https://github.com/microsoft/ML-For-Beginners
ZuzooVn,machine-learning-for-software-engineers,25500,https://github.com/ZuzooVn/machine-learning-for-software-engineers
Developer-Y,cs-video-courses,25300,https://github.com/Developer-Y/cs-video-courses
ageron,handson-ml,23700,https://github.com/ageron/handson-ml
fengdu78,Coursera-ML-AndrewNg-Notes,23500,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes
terryum,awesome-deep-learning-papers,23400,https://github.com/terryum/awesome-deep-learning-papers
CMU-Perceptual-Computing-Lab,openpose,22700,https://github.com/CMU-Perceptual-Computing-Lab/openpose
dmlc,xgboost,21900,https://github.com/dmlc/xgboost
donnemartin,data-science-ipython-notebooks,21900,https://github.com/donnemartin/data-science-ipython-notebooks
explosion,spaCy,21900,https://github.com/explosion/spaCy
fastai,fastai,21700,https://github.com/fastai/fastai
google-research,google-research,20700,https://github.com/google-research/google-research
eriklindernoren,ML-From-Scratch,20600,https://github.com/eriklindernoren/ML-From-Scratch
sebastianruder,NLP-progress,19400,https://github.com/sebastianruder/NLP-progress
ultralytics,yolov5,19300,https://github.com/ultralytics/yolov5
datawhalechina,pumpkin-book,18800,https://github.com/datawhalechina/pumpkin-book
